,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,KepMag,Kmag,Teff,mass,Radius
0,0,0,0,0,0,integer,float,float,integer,float,float
1,1,1,1,1,1,201436780,17.217,15.214,,,
2,2,2,2,2,2,201436845,15.700,12.373,3123,0.146,0.154
3,3,3,3,3,3,201436908,12.768,11.285,5895,1.067,1.302
4,4,4,4,4,4,201437022,17.033,14.766,4883,0.808,18.664
5,5,5,5,5,5,201437109,17.159,14.375,,,
6,6,6,6,6,6,201437264,12.712,11.166,5542,1.174,2.100
7,7,7,7,7,7,201437342,14.989,12.959,5089,0.875,4.843
8,8,8,8,8,8,201437372,14.933,12.250,3654,0.307,0.291
9,9,9,9,9,9,201437455,17.036,14.144,3501,0.227,0.226
10,10,10,10,10,10,201437518,9.446,8.167,6178,1.175,1.350
11,11,11,11,11,11,201437533,17.802,14.925,,,
12,12,12,12,12,12,201437654,11.529,10.257,6303,1.017,1.277
13,13,13,13,13,13,201437707,12.136,9.539,4417,0.962,17.892
14,14,14,14,14,14,201437715,15.651,14.081,5251,0.822,0.820
15,15,15,15,15,15,201437788,14.749,12.878,5288,0.877,0.841
16,16,16,16,16,16,201437818,13.460,11.710,5434,0.886,0.878
17,17,17,17,17,17,201437844,9.234,7.853,6315,1.202,1.270
18,18,18,18,18,18,201437848,15.384,12.646,4173,0.569,0.506
19,19,19,19,19,19,201438008,15.603,14.241,5749,0.825,0.892
20,20,20,20,20,20,201438027,12.326,10.534,5151,0.911,3.008
21,21,21,21,21,21,201438034,14.075,12.600,6020,0.938,1.173
22,22,22,22,22,22,201438079,9.831,7.606,4738,1.206,6.131
23,23,23,23,23,23,201438143,17.810,15.115,4335,0.580,0.528
24,24,24,24,24,24,201438168,10.356,9.088,6057,1.395,2.234
25,25,25,25,25,25,201438212,16.665,14.476,,,
26,26,26,26,26,26,201438289,15.276,,,,
27,27,27,27,27,27,201438404,12.221,10.892,6189,1.202,1.538
28,28,28,28,28,28,201438465,19.618,,,,
29,29,29,29,29,29,201438507,14.067,12.365,5532,0.912,0.886
30,30,30,30,30,30,201438538,15.751,12.736,4078,0.522,0.458
31,31,31,31,31,31,201438601,19.662,,,,
32,32,32,32,32,32,201438645,18.751,,,,
33,33,33,33,33,33,201438697,16.503,14.103,,,
34,34,34,34,34,34,201438728,13.317,10.642,4066,0.516,0.462
35,35,35,35,35,35,201438769,16.803,14.457,,,
36,36,36,36,36,36,201438798,17.062,14.702,,,
37,37,37,37,37,37,201438876,12.414,11.000,5954,1.041,1.170
38,38,38,38,38,38,201438899,17.390,14.539,3547,0.225,0.220
39,39,39,39,39,39,201438974,16.659,,,,
40,40,40,40,40,40,201438976,14.330,12.251,4681,0.762,0.689
41,41,41,41,41,41,201439222,17.644,14.640,3679,0.309,0.295
42,42,42,42,42,42,201439369,15.430,13.593,5365,0.776,0.749
43,43,43,43,43,43,201439372,13.480,10.844,4434,0.822,27.171
44,44,44,44,44,44,201439400,12.945,11.801,6455,1.169,1.336
45,45,45,45,45,45,201439433,17.462,14.621,4036,0.501,0.441
46,46,46,46,46,46,201439549,14.640,13.105,5825,0.838,0.912
47,47,47,47,47,47,201439569,15.592,12.901,4069,0.549,0.484
48,48,48,48,48,48,201439729,13.889,12.565,6244,0.880,1.256
49,49,49,49,49,49,201439747,14.539,13.004,5931,0.901,1.029
50,50,50,50,50,50,201439759,17.197,14.500,3616,0.267,0.265
51,51,51,51,51,51,201439851,13.013,10.891,4816,0.752,0.692
52,52,52,52,52,52,201439885,17.866,14.829,3931,0.404,0.373
53,53,53,53,53,53,201439889,14.375,11.713,4098,0.506,0.452
