EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
201436780,17.217,15.214,,,
201436845,15.700,12.373,3123,0.146,0.154
201436908,12.768,11.285,5895,1.067,1.302
201437022,17.033,14.766,4883,0.808,18.664
201437109,17.159,14.375,,,
201437264,12.712,11.166,5542,1.174,2.100
201437342,14.989,12.959,5089,0.875,4.843
201437372,14.933,12.250,3654,0.307,0.291
201437455,17.036,14.144,3501,0.227,0.226
201437518,9.446,8.167,6178,1.175,1.350
201437533,17.802,14.925,,,
201437654,11.529,10.257,6303,1.017,1.277
201437707,12.136,9.539,4417,0.962,17.892
201437715,15.651,14.081,5251,0.822,0.820
201437788,14.749,12.878,5288,0.877,0.841
201437818,13.460,11.710,5434,0.886,0.878
201437844,9.234,7.853,6315,1.202,1.270
201437848,15.384,12.646,4173,0.569,0.506
201438008,15.603,14.241,5749,0.825,0.892
201438027,12.326,10.534,5151,0.911,3.008
201438034,14.075,12.600,6020,0.938,1.173
201438079,9.831,7.606,4738,1.206,6.131
201438143,17.810,15.115,4335,0.580,0.528
201438168,10.356,9.088,6057,1.395,2.234
201438212,16.665,14.476,,,
201438289,15.276,,,,
201438404,12.221,10.892,6189,1.202,1.538
201438465,19.618,,,,
201438507,14.067,12.365,5532,0.912,0.886
201438538,15.751,12.736,4078,0.522,0.458
201438601,19.662,,,,
201438645,18.751,,,,
201438697,16.503,14.103,,,
201438728,13.317,10.642,4066,0.516,0.462
201438769,16.803,14.457,,,
201438798,17.062,14.702,,,
201438876,12.414,11.000,5954,1.041,1.170
201438899,17.390,14.539,3547,0.225,0.220
201438974,16.659,,,,
201438976,14.330,12.251,4681,0.762,0.689
201439222,17.644,14.640,3679,0.309,0.295
201439369,15.430,13.593,5365,0.776,0.749
201439372,13.480,10.844,4434,0.822,27.171
201439400,12.945,11.801,6455,1.169,1.336
201439433,17.462,14.621,4036,0.501,0.441
201439549,14.640,13.105,5825,0.838,0.912
201439569,15.592,12.901,4069,0.549,0.484
201439729,13.889,12.565,6244,0.880,1.256
201439747,14.539,13.004,5931,0.901,1.029
201439759,17.197,14.500,3616,0.267,0.265
201439851,13.013,10.891,4816,0.752,0.692
201439885,17.866,14.829,3931,0.404,0.373
201439889,14.375,11.713,4098,0.506,0.452
201439933,12.863,10.356,4364,0.647,0.586
201440011,15.871,12.662,3785,0.378,0.351
201440036,14.065,12.290,5591,0.848,0.852
201440072,13.217,11.511,5608,0.928,1.140
201440182,16.910,,,,
201440198,13.791,12.222,5964,0.867,1.003
201440233,13.860,12.172,5680,0.947,0.951
201440254,13.969,12.341,5553,0.709,0.692
201440260,14.928,12.953,5229,0.869,2.581
201440385,14.511,12.219,4566,0.666,0.618
201440389,14.689,11.404,3752,0.373,0.347
201440486,14.627,11.264,3973,0.482,0.421
201440496,16.137,13.319,3793,0.343,0.320
201440523,11.809,9.805,5030,0.869,0.804
201440598,17.093,14.565,,,
201440657,14.154,12.475,5594,0.820,0.835
201440668,13.665,11.532,4719,0.974,8.707
201440678,17.238,,,,
201440754,15.523,12.921,4159,0.603,0.533
201440815,14.310,12.065,4784,0.750,0.685
201440934,14.864,13.013,5244,0.876,2.295
201441123,17.123,14.321,3628,0.257,0.256
201441148,14.581,12.777,5337,0.876,1.625
201441342,10.959,8.751,4769,1.109,6.353
201441367,14.030,11.486,4040,0.519,0.455
201441449,13.106,11.629,5846,0.923,1.053
201441495,14.030,11.884,4117,0.559,0.497
201441551,16.016,14.011,,,
201441564,16.300,13.132,3572,0.233,0.244
201441581,16.521,14.427,,,
201441659,17.489,14.718,,,
201441660,14.843,13.127,5683,0.759,0.766
201441760,15.251,12.193,3858,0.440,0.397
201441857,14.272,12.600,5581,0.872,0.853
201441859,16.925,14.116,3685,0.296,0.283
201441861,12.672,11.434,6277,1.123,1.322
201441969,11.047,9.897,6667,1.365,1.583
201442046,17.834,,,,
201442051,13.126,11.779,6298,1.051,1.351
201442052,16.958,15.149,5241,0.802,4.611
201442071,17.045,14.807,,,
201442125,16.742,15.309,,,
201442144,15.072,12.954,5019,0.789,0.736
201442157,13.676,12.309,6134,0.957,1.228
201442228,16.412,14.481,,,
201442233,14.719,12.995,5159,0.859,1.585
201442238,12.509,10.502,5095,0.908,3.263
201442245,17.498,,,,
201442271,14.061,12.545,5782,0.929,1.057
201442504,17.067,14.395,,,
201442522,12.585,11.018,5977,1.021,1.275
201442535,17.784,14.901,3718,0.296,0.288
201442614,13.757,11.337,4568,0.701,0.635
201442688,17.555,14.573,3732,0.312,0.286
201442690,13.442,11.426,5061,0.899,3.609
201442888,15.855,13.687,,,
201442894,12.035,10.791,6561,1.230,1.404
201442905,16.596,14.007,4302,0.596,0.538
201442980,15.874,12.837,3682,0.297,0.295
201443228,15.530,13.478,,,
201443234,16.206,14.725,,,
201443253,15.714,13.999,,,
201443345,15.223,13.300,5316,0.841,0.817
201443347,14.694,12.554,4760,0.747,0.679
201443446,16.430,12.971,3399,0.184,0.200
201443461,17.269,15.145,,,
201443528,17.008,14.632,,,
201443635,17.373,14.716,3779,0.345,0.323
201443655,14.049,12.549,5979,0.986,1.171
201443704,13.724,12.047,5795,0.875,1.088
201443714,14.053,12.584,6048,0.961,1.175
201443774,12.609,10.891,5432,0.886,2.658
201443796,13.031,11.006,5020,0.795,0.750
201443939,17.297,,,,
201443947,14.065,10.847,3985,0.521,0.458
201443975,16.314,12.695,3529,0.238,0.246
201444081,15.207,12.657,4422,0.577,0.524
201444126,14.492,12.264,4941,0.894,4.891
