EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
201436780,12 10 39.643,-00 24 33.15,1,17.217,,,,12103964-0024331,6793-301-3-0147-0352,EXTENDED,gri,,-4.000,2.000,-1.000,2.000,,,,,,,19.671,0.098,18.145,0.011,17.229,0.008,16.820,0.007,16.523,0.020,16.659,0.163,16.191,0.213,15.214,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201436845,12 22 27.241,-00 24 29.84,1,15.700,,,,12222724-0024298,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.286,0.023,12.710,0.023,12.373,0.023,,,,,,,,,3123,367,735,5.174,0.130,0.156,-0.102,0.200,0.280,0.154,0.078,0.052,0.146,0.083,0.062,36.230,38.600,21.060,48.890,52.790,28.090,0.010,0.010,0.006,,,
201436908,12 02 59.820,-00 24 26.47,1,12.768,,,448-053911,12025982-0024266,,STAR,gri,rpm,-10.700,2.300,-1.100,2.900,,,13.576,0.030,12.936,0.040,,,13.197,0.040,12.729,0.050,12.583,0.040,,,11.692,0.023,11.393,0.025,11.285,0.021,,,,,,,,,5895,139,139,4.237,0.164,0.246,-0.048,0.160,0.320,1.302,0.410,0.312,1.067,0.110,0.128,0.471,0.402,0.284,518.500,193.900,141.100,0.028,0.018,0.006,,,
201437022,12 15 18.503,-00 24 20.36,1,17.033,,,,12151850-0024203,752-301-3-0269-0143,STAR,gri,rpm,-1.000,3.000,-2.000,3.000,,,,,,,19.476,0.028,17.738,0.005,17.032,0.004,16.731,0.005,16.550,0.009,15.536,0.054,14.898,0.060,14.766,0.119,,,,,,,,,4883,97,58,1.748,1.680,0.350,-1.750,0.700,0.500,18.664,9.326,15.526,0.808,0.019,0.019,8.989e-5,0.004,6.367e-5,33180.000,16810.000,28140.000,0.029,0.018,0.006,,,
201437109,12 09 14.985,-00 24 15.37,1,17.159,,,,12091498-0024153,6793-301-3-0145-0148,EXTENDED,gri,,3.000,3.000,-2.000,3.000,,,,,,,19.892,0.069,18.157,0.008,17.151,0.005,16.731,0.005,16.368,0.011,15.848,0.085,15.007,0.080,14.375,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201437264,12 20 37.842,-00 24 06.17,1,12.712,,,448-054343,12203784-0024062,,STAR,gri,apo,-31.000,2.900,22.300,2.100,,,13.570,0.020,12.878,0.010,,,13.158,0.010,12.669,0.030,12.520,0.050,,,11.576,0.026,11.220,0.026,11.166,0.024,,,,,,,,,5542,99,231,3.840,0.112,0.098,0.001,0.080,0.180,2.100,0.392,0.331,1.174,0.132,0.110,0.117,0.062,0.032,751.900,111.400,111.900,0.031,0.015,0.011,,,
201437342,12 05 33.422,-00 24 02.57,1,14.989,,,448-053959,12053343-0024025,6793-301-3-0139-0023,STAR,gri,rpm,-5.500,3.800,-3.000,4.400,,,15.968,0.070,15.174,0.040,,,15.579,0.020,14.959,0.030,14.737,0.150,,,13.522,0.026,12.977,0.027,12.959,0.038,,,,,,,,,5089,79,99,2.828,0.600,0.840,-1.015,0.350,0.910,4.843,7.612,2.377,0.875,0.032,0.071,0.004,0.027,0.004,3954.000,5987.000,1907.000,0.028,0.013,0.006,,,
201437372,12 18 38.630,-00 24 00.89,1,14.933,,,448-054295,12183862-0024008,,STAR,JHK,rpm,10.300,4.000,-20.100,4.000,,,,,,,,,,,,,,,,,13.010,0.024,12.465,0.027,12.250,0.027,,,,,,,,,3654,170,85,4.977,0.065,0.078,-0.053,0.150,0.150,0.291,0.083,0.055,0.307,0.103,0.069,11.580,5.350,4.239,114.400,41.480,26.000,0.018,0.008,0.007,,,
201437455,12 24 45.984,-00 23 56.58,1,17.036,,,,12244598-0023565,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.572,0.092,14.884,0.104,14.144,0.083,,,,,,,,,3501,263,421,5.038,0.140,0.100,-0.074,0.160,0.240,0.226,0.093,0.076,0.227,0.128,0.110,16.020,15.500,6.907,270.700,157.300,128.200,0.025,0.014,0.008,,,
