EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
229159990,12 34 07.522,+02 15 47.35,1,13.731,,,462-049310,12340752+0215474,1462-301-3-0422-0008,STAR,gri,rpm,-14.300,8.100,-5.200,4.400,,,14.803,0.010,13.975,0.020,,,14.339,0.020,13.726,0.020,13.471,0.040,,,12.395,0.024,11.941,0.025,11.786,0.021,,,,,,,,,5157,83,83,3.245,0.335,0.804,-0.909,0.300,0.300,3.437,5.051,1.009,0.892,0.021,0.038,0.019,0.039,0.018,1575.000,2073.000,465.100,0.031,0.013,0.009,AAA-222-111-000-0-0,85.800,
229160096,12 30 47.845,+02 15 57.21,1,12.706,,,462-049243,12304784+0215572,,STAR,gri,rpm,-31.000,1.000,-8.800,1.300,,,13.630,0.040,12.895,0.010,,,13.194,0.020,12.681,0.030,12.497,0.050,,,11.436,0.024,11.007,0.022,10.955,0.023,,,,,,,,,5399,95,158,3.391,0.855,0.684,-1.022,0.450,0.810,2.450,2.812,1.508,0.858,0.040,0.057,0.029,0.508,0.026,725.000,840.900,448.100,0.027,0.004,0.007,AAA-222-111-000-0-0,33.100,
229160115,12 42 25.969,+02 15 58.34,1,16.679,,,,12422596+0215583,6005-301-6-0178-0062,STAR,gri,rpm,-3.000,3.000,-1.000,3.000,,,,,,,18.943,0.021,17.228,0.005,16.605,0.004,16.444,0.005,16.199,0.007,15.421,0.075,14.887,0.075,15.197,0.204,,,,,,,,,5321,106,106,4.542,0.060,0.852,-0.539,0.350,0.420,0.784,1.444,0.092,0.795,0.110,0.092,1.630,0.470,1.544,1568.000,2706.000,221.000,0.028,0.013,0.008,AAC-222-111-000-0-0,42.900,
229160150,12 41 40.894,+02 16 01.30,1,17.405,,,,,6121-301-6-0177-0216,EXTENDED,gri,,1.000,3.000,6.000,3.000,,,,,,,21.145,0.271,18.528,0.012,17.417,0.007,16.923,0.008,16.561,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229160158,12 41 58.809,+02 16 02.06,1,17.308,,,,,6121-301-6-0177-0233,EXTENDED,gri,,2.000,3.000,-3.000,3.000,,,,,,,19.146,0.047,18.027,0.008,17.436,0.007,17.000,0.007,16.793,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229160267,12 38 24.051,+02 16 12.71,1,14.250,,,462-049397,12382405+0216126,1462-301-3-0429-0007,STAR,gri,rpm,-29.800,5.300,-5.200,2.300,,,15.116,0.010,14.386,0.030,,,14.727,0.040,14.158,0.010,14.045,0.150,,,13.021,0.024,12.612,0.027,12.518,0.024,,,,,,,,,5453,108,129,4.541,0.055,0.055,-0.356,0.250,0.400,0.802,0.099,0.088,0.829,0.078,0.093,1.527,0.395,0.314,550.300,79.790,80.410,0.027,0.014,0.006,AAA-222-111-000-0-0,19.600,
229160301,12 42 09.987,+02 16 15.39,1,13.167,,,462-049470,12420999+0216155,,STAR,gri,rpm,4.900,1.200,-17.400,1.600,,,13.702,0.020,13.235,0.060,,,13.390,0.040,13.092,0.030,12.962,0.060,,,12.206,0.022,11.960,0.024,11.879,0.025,,,,,,,,,6243,128,128,4.210,0.125,0.150,-0.450,0.300,0.540,1.331,0.185,0.259,0.989,0.165,0.138,0.421,0.342,0.165,736.200,72.890,149.300,0.030,0.008,0.008,AAA-222-111-000-0-0,33.200,
229160305,12 29 15.632,+02 16 15.75,1,12.821,,,462-049208,12291564+0216158,,STAR,gri,rpm,-19.400,2.200,-6.600,1.600,,,13.953,0.050,13.042,0.010,,,13.448,0.040,12.740,0.030,12.552,0.090,,,11.315,0.022,10.838,0.026,10.750,0.024,,,,,,,,,5075,123,123,3.579,0.917,0.655,-0.333,0.350,0.560,2.639,2.378,1.695,0.936,0.257,0.092,0.049,0.875,0.043,743.900,625.400,495.800,0.028,0.016,0.009,AAA-222-111-000-0-0,74.000,
229160336,12 40 22.807,+02 16 18.46,1,13.964,,,462-049429,12402280+0216184,1462-301-3-0432-0032,STAR,gri,rpm,-22.900,1.800,-17.100,2.100,,,14.797,0.060,14.116,0.020,,,14.404,0.040,13.926,0.030,13.776,0.110,,,12.900,0.027,12.558,0.026,12.511,0.027,,,,,,,,,5788,92,139,4.418,0.070,0.168,-0.302,0.200,0.280,0.955,0.258,0.100,0.905,0.068,0.081,0.992,0.301,0.467,660.200,210.100,85.200,0.028,0.014,0.009,AAA-222-111-000-0-0,9.000,
229160415,12 30 49.756,+02 16 26.34,1,14.608,,,462-049245,12304975+0216262,,STAR,gri,rpm,-12.100,2.100,40.200,2.300,,,16.793,0.120,15.328,0.020,,,16.093,0.020,14.767,0.020,13.971,0.060,,,12.291,0.024,11.698,0.023,11.539,0.023,,,,,,,,,3768,76,61,4.909,0.036,0.030,0.035,0.080,0.120,0.360,0.039,0.022,0.391,0.052,0.017,8.172,1.211,1.248,107.600,19.400,8.559,0.019,0.004,0.006,AAA-222-111-000-0-0,40.800,
229160432,12 30 02.418,+02 16 28.12,1,12.615,,,462-049225,12300241+0216281,,STAR,gri,lam,-10.600,0.900,-0.900,1.500,,,13.338,0.040,12.718,0.031,,,12.952,0.030,12.561,0.030,12.471,0.070,,,11.565,0.027,11.274,0.026,11.216,0.023,,,,,,,,,5904,96,96,4.290,0.096,0.144,0.135,0.100,0.100,1.230,0.227,0.147,1.110,0.072,0.060,0.585,0.204,0.223,475.800,98.350,62.540,0.028,0.015,0.007,AAA-222-111-000-0-0,17.600,
229160505,12 28 59.240,+02 16 34.37,1,14.250,,,462-049197,12285924+0216344,1462-301-3-0413-0052,STAR,gri,rpm,-55.400,2.500,16.500,6.400,,,15.384,0.060,14.496,0.060,,,14.898,0.030,14.180,0.040,13.973,0.090,,,12.793,0.028,12.349,0.026,12.267,0.026,,,,,,,,,5049,120,80,4.622,0.070,0.050,-0.586,0.350,0.420,0.670,0.090,0.080,0.685,0.098,0.065,2.272,0.723,0.549,374.400,69.950,49.800,0.025,0.012,0.005,AAA-222-111-000-0-0,20.000,
229160618,12 33 50.373,+02 16 45.60,1,15.676,,,,12335037+0216455,1462-301-3-0421-0150,EXTENDED,gri,,0.000,3.000,-1.000,3.000,,,,,,,18.692,0.041,16.676,0.005,15.674,0.003,15.247,0.003,14.907,0.007,14.898,0.093,14.141,0.095,13.652,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-1-0,37.100,
