,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
1,1,1,1,1,1,236456688,17 20 06.153,-27 10 01.37,1,16.29,,,,17200615-2710013,STAR,JHK,rpm,-4,7,-50,4,,,,,,,,,,,,,13.966,0.066,13.37,0.111,13.085,0.082,3752,496,275,4.945,0.095,0.171,-0.176,0.25,0.45,0.315,0.172,0.084,0.341,0.209,0.116,9.31,7.789,5.171,206.8,138.5,73.54,0.125,0.094,0.052,ABA-222-222-ccc-0-0,3.4,0628-0657926
2,2,2,2,2,2,236459092,17 19 54.489,-27 09 29.56,1,10.587,,6833-289-1,315-112850,17195447-2709294,STAR,gri,rpm,1.7,3,-25.7,2.7,,,11.597,0.112,10.62,0.073,11.272,0.03,10.573,0.04,10.293,0.06,9.299,0.023,8.842,0.023,8.755,0.022,5283,164,197,3.497,0.33,1.056,-0.608,0.5,0.6,2.996,5.566,0.846,0.909,0.316,0.044,0.032,0.081,0.031,336.7,559.1,84.21,0.182,0.09,0.077,AAA-222-111-000-0-0,9.6,
3,3,3,3,3,3,236461567,17 27 31.397,-27 08 57.56,1,13.353,,,315-114241,17273139-2708576,STAR,gri,rpm,-0.2,1.8,-8.9,2,,,15.276,0.11,13.952,0.04,14.62,0.01,13.48,0.01,12.81,0.04,11.377,0.028,10.83,0.031,10.695,0.032,5384,53,53,2.473,0.02,0.02,-1.085,0.06,0.05,9.045,0.181,0.181,0.889,0.018,0.018,0.001,7.19E-05,7.19E-05,2102,63.07,63.07,0.987,0.001,0.056,AAA-222-111-000-0-0,5.2,
4,4,4,4,4,4,236463555,17 27 42.299,-27 08 31.41,1,16.025,,,,17274229-2708314,STAR,JHK,rpm,24,10,-48,7,,,,,,,,,,,,,13.609,0.028,12.853,0.036,12.584,0.037,4106,215,215,4.79,0.09,0.06,-0.132,0.12,0.18,0.491,0.06,0.092,0.539,0.076,0.106,4.507,2.175,1.041,284.8,51.36,58.99,0.218,0.168,0.067,AAA-222-111-000-0-0,5.3,0628-0686076
5,5,5,5,5,5,236463673,17 22 45.881,-27 08 29.75,1,11.952,,,,17224588-2708297,STAR,J,rpm,12,2,6,1,,,,,,,,,,,,,10.262,0.025,9.018,0.025,8.293,0.023,23049,230,18483,3.301,0.02,1.266,0.534,0.05,0.16,14.565,16.891,0.291,4.256,10.073,1.119,0.005,3.01E-04,0.005,8329,249.9,458.6,7.448,0.001,3.491,AAA-222-111-000-0-0,10.8,0628-0664189
6,6,6,6,6,6,236465311,17 23 56.934,-27 08 08.06,1,12.727,,,315-113329,17235692-2708079,STAR,gri,rpm,-20.9,1.8,-28.6,1.7,,,14.284,0.13,13.152,0.05,13.799,0.02,12.669,0.041,12.268,0.12,10.894,0.023,10.257,0.025,10.159,0.027,4474,107,53,4.671,0.03,0.025,0.033,0.12,0.21,0.642,0.029,0.043,0.71,0.023,0.052,2.639,0.412,0.26,239,51.81,97.37,0.117,0.091,0.057,AAA-222-111-000-0-0,9.5,
7,7,7,7,7,7,236469315,17 21 56.824,-27 07 16.10,1,11.407,,,315-113089,17215682-2707159,STAR,gri,rpm,-134.4,8,-174.2,8,,,13.741,0.04,12.219,0.09,13.004,0.02,11.785,0.21,10.723,0.13,8.852,0.034,8.328,0.067,8.045,0.016,4575,1097,457,4.64,0.116,0.203,-0.186,0.3,0.42,0.663,0.289,0.173,0.699,0.143,0.143,2.264,2.1,1.234,60.98,45.77,18.01,0.036,0.051,0.017,AAA-111-111-000-0-0,7.3,
8,8,8,8,8,8,236470000,17 25 30.211,-27 07 07.06,1,11.608,,6833-125-1,315-113623,17253020-2707072,STAR,gri,rpm,-3.5,3.2,-0.9,3.2,,,12.524,0.258,12.17,0.237,12.269,0.01,11.743,0.09,11.325,0.05,10.234,0.021,9.93,0.023,9.834,0.021,6221,413,150,3.955,0.265,0.318,0.027,0.12,0.15,1.994,1.145,0.727,1.389,0.406,0.271,0.147,0.254,0.103,467.5,311.9,162.1,0.325,0.151,0.108,AAA-222-111-000-0-0,14.2,
9,9,9,9,9,9,236478683,17 18 51.184,-27 05 12.03,1,13.302,,,315-112556,17185118-2705118,STAR,gri,rpm,-10.4,2,-91.8,2,,,15.676,0.04,14.183,0.01,14.986,0.039,13.595,0.043,12.58,0.062,10.829,0.021,10.239,0.022,9.964,0.021,3717,186,224,4.932,0.099,0.066,0.062,0.09,0.18,0.351,0.056,0.109,0.383,0.078,0.143,8.488,7.101,2.225,70.22,58.74,9.9,0.054,0.05,0.025,AAA-222-111-000-0-0,9.4,
10,10,10,10,10,10,236483012,17 25 39.722,-27 04 15.95,1,11.95,,,,17253972-2704159,STAR,J,rpm,-20,4,-2,13,,,,,,,,,,,,,10.26,0.022,9.011,0.022,8.241,0.02,23142,231,231,3.302,0.02,0.02,0.525,0.05,0.05,14.554,0.291,0.291,15.51,0.31,0.31,0.005,3.02E-04,3.02E-04,8331,249.9,249.9,7.449,0.001,0.001,AAA-222-111-000-0-0,6.2,0629-0654665
