,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
1,1,1,1,1,1,246392825,23 02 02.555,-01 12 33.35,1,9.106,113736,5242-736-1,444-131055,23020255-0112333,,STAR,BV,plx,23.77,1.16,4.1,0.84,2.05,0.94,10.216,0.038,9.265,0.022,,,,,,,,,,,7.443,0.02,6.943,0.033,6.827,0.02,4822,116,116,2.448,0.3,0.075,-0.18,0.25,0.35,10.742,0.637,1.168,1.267,0.706,0.272,9.45E-04,0.001,1.68E-04,448,58.28,58.28,0.038,0.011,0.008,AAA-111-111-000-0-0,50.4,
2,2,2,2,2,2,246392855,23 31 18.170,-01 12 29.97,1,17.625,,,,23311817-0112299,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.956,0.07,15.351,0.095,15.28,0.162,3955,667,370,4.859,0.18,0.18,-0.272,0.3,0.48,0.371,0.182,0.141,0.428,0.188,0.188,7.082,8.591,4.352,643.7,514.2,285.9,0.037,0.013,0.007,AAC-222-111-000-0-0,36.2,0887-0678571
3,3,3,3,3,3,246392873,23 34 38.209,-01 12 28.73,1,17.191,,,444-131939,23343821-0112288,,STAR,JHK,rpm,-0.5,5.7,-24.8,5.5,,,,,,,,,,,,,,,,,15.577,0.059,15.129,0.077,14.922,0.13,3878,1219,365,4.921,0.12,0.288,-0.328,0.36,0.6,0.331,0.291,0.108,0.379,0.284,0.158,7.591,9.325,5.309,461.4,797.8,182.1,0.036,0.011,0.007,AAB-222-111-000-0-0,34.5,
4,4,4,4,4,4,246392907,23 20 53.676,-01 12 24.87,1,12.698,,,444-131605,23205366-0112247,,STAR,gri,rpm,-11.2,1.5,-47.2,1.6,,,13.471,0.06,12.82,0.17,,,13.164,0.02,12.65,0.14,12.499,0.06,,,11.616,0.024,11.259,0.027,11.23,0.026,5695,205,171,4.467,0.07,0.084,-0.266,0.16,0.4,0.895,0.093,0.1,0.876,0.079,0.079,1.189,0.422,0.311,336.7,47.22,56.51,0.036,0.013,0.008,AAA-222-111-000-0-0,52.5,
5,5,5,5,5,5,246392913,23 10 51.930,-01 12 24.22,1,16.372,,,,23105192-0112242,,STAR,JHK,rpm,62,6,82,11,,,,,,,,,,,,,,,,,14.095,0.03,13.479,0.028,13.229,0.035,3525,214,257,5.064,0.09,0.075,-0.151,0.2,0.24,0.215,0.059,0.054,0.205,0.088,0.063,18.96,12.21,6.432,132.2,49.03,41.66,0.027,0.01,0.008,AAA-222-111-000-0-0,5.8,0887-0674803
6,6,6,6,6,6,246392925,23 33 21.348,-01 12 22.27,1,17.312,,,,23332134-0112222,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,16.068,0.078,15.887,0.152,15.624,0.209,5686,489,1762,4.5,0.399,0.285,-0.772,0.5,0.5,0.793,0.364,0.42,0.757,0.081,0.371,1.398,5.938,0.902,2357,1362,1637,0.038,0.011,0.008,ABC-222-111-000-0-0,13.4,0887-0679086
7,7,7,7,7,7,246392928,23 30 40.668,-01 12 22.16,1,15.222,,,444-131819,23304065-0112221,,STAR,gri,rpm,26.5,2.7,-5,3.1,,,17.068,0.1,15.592,0.055,,,16.488,0.07,15.034,0.02,14.68,0.05,,,13.274,0.029,12.673,0.023,12.46,0.021,4055,48,48,4.897,0.025,0.03,-0.419,0.15,0.12,0.383,0.035,0.019,0.433,0.045,0.03,7.372,0.976,0.995,200.7,13.17,16.3,0.034,0.013,0.007,AAA-222-111-000-0-0,106.6,
8,8,8,8,8,8,246392959,23 10 09.578,-01 12 18.92,1,13.177,,,444-131284,23100957-0112189,,STAR,gri,rpm,11,1.7,3.2,2.2,,,14.091,0.01,13.242,0.02,,,13.716,0.02,13.048,0.01,12.947,0.01,,,12.131,0.023,11.793,0.025,11.74,0.024,5417,86,64,4.491,0.035,0.637,0.118,0.16,0.2,0.914,1.156,0.04,0.957,0.178,0.023,1.234,0.151,1.113,412.4,519.9,21.27,0.034,0.014,0.005,AAA-222-111-000-0-0,61.3,
9,9,9,9,9,9,246392969,23 34 25.998,-01 12 18.05,1,15.807,,,444-131930,23342598-0112180,,STAR,gri,rpm,4.5,2.8,-6.9,3.2,,,17.242,0.14,16.009,0.065,,,16.694,0.064,15.981,0.074,15.426,0.107,,,14.272,0.026,13.788,0.027,13.586,0.038,5001,119,119,4.597,0.06,0.984,-0.317,0.3,0.54,0.735,1.999,0.098,0.781,0.091,0.109,1.94,0.617,1.887,802.4,2206,119.4,0.038,0.013,0.009,AAA-222-111-000-0-0,30.4,
10,10,10,10,10,10,246392970,23 25 52.538,-01 12 17.87,1,15.182,,,444-131712,23255253-0112178,,STAR,gri,rpm,7,4,-8.6,4.4,,,16.84,0.09,15.534,0.054,,,16.451,0.06,15.066,0.03,14.638,0.16,,,13.503,0.024,12.946,0.027,12.844,0.03,3918,63,94,4.898,0.048,0.04,-0.186,0.15,0.18,0.377,0.042,0.038,0.423,0.056,0.047,7.536,1.864,1.268,204.3,27.68,20.53,0.033,0.007,0.007,AAA-222-111-000-0-0,51.4,
