,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,0,0,0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
1,1,1,1,1,1,246888251,05 10 45.079,+16 38 22.90,1,16.254,,,534-011742,05104508+1638228,6519-301-6-0130-0408,STAR,gri,rpm,-0.8,4,7.3,4.8,,,17.31,0.01,16.548,0.082,,,16.771,0.066,16.364,0.085,16.033,0.136,,,14.708,0.044,14.204,0.044,14.231,0.065,6040,224,269,4.307,0.14,0.28,-0.513,0.3,0.36,1.095,0.414,0.199,0.919,0.126,0.09,0.642,0.537,0.384,1662,654.4,350.9,0.403,0.089,0.074,AAA-222-111-000-0-0,29,
2,2,2,2,2,2,246888253,05 11 28.244,+16 38 23.01,1,14.754,,,534-011844,05112825+1638231,6519-301-6-0131-0498,STAR,gri,,-9.6,4.5,-1.8,5,,,15.715,0.01,15.116,0.21,,,15.27,0.04,14.801,0.05,14.532,0.08,,,13.753,0.045,,,13.528,0.048,,,,,,,,,,,,,,,,,,,,,,,,,AEA-222-111-000-0-0,31.7,
3,3,3,3,3,3,246888285,05 11 12.038,+16 38 24.45,1,16.571,,,534-011806,05111202+1638245,6519-301-6-0131-0273,STAR,JHK,rpm,-10.6,5.1,-15.1,5.2,,,,,,,,,,,,,,,,,15.242,0.05,14.881,0.072,14.734,0.081,5924,312,375,4.423,0.13,0.208,-0.651,0.4,0.4,0.922,0.295,0.166,0.835,0.089,0.074,0.958,0.614,0.524,1726,632.4,395.3,0.485,0.205,0.114,AAA-222-111-000-0-0,14.6,
4,4,4,4,4,4,246888297,05 12 51.804,+16 38 24.83,1,16.375,,,534-012176,05125179+1638249,6514-301-5-0140-0137,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.036,0.038,14.702,0.061,14.521,0.078,6147,313,313,4.295,0.15,0.21,-0.311,0.2,0.32,1.14,0.418,0.228,1.02,0.164,0.164,0.582,0.441,0.318,1983,756.7,468.2,0.533,0.234,0.156,AAA-222-111-000-0-0,19.6,1066-0060019
5,5,5,5,5,5,246888365,05 00 00.526,+16 38 26.93,1,13.798,,,534-010629,05000052+1638269,,STAR,gri,rpm,3.6,5.6,-0.6,6.7,,,15.45,0.01,14.275,0.03,,,14.838,0.02,13.821,0.05,13.353,0.05,,,11.807,0.022,11.203,0.03,11.054,0.02,4921,176,117,2.496,0.72,0.144,-0.531,0.25,0.35,9.487,1.929,5.234,1.076,0.225,0.161,0.001,0.013,3.88E-04,2818,470,1474,0.474,0.123,0.088,AAA-222-111-000-0-0,37.5,
6,6,6,6,6,6,246888385,05 10 18.018,+16 38 27.45,1,12.978,,,534-011680,05101801+1638274,,STAR,gri,rpm,1.1,1.8,-1.7,1.7,,,13.791,0.02,13.221,0.07,,,13.414,0.02,13.011,0.06,12.791,0.07,,,11.803,0.024,11.571,0.03,11.495,0.018,7016,330,275,4.088,0.16,0.256,-0.063,0.1,0.12,1.73,0.752,0.349,1.536,0.231,0.193,0.263,0.215,0.162,805.8,350.4,183.2,0.419,0.118,0.084,AAA-222-111-000-0-0,19.3,
7,7,7,7,7,7,246888410,05 11 36.509,+16 38 28.05,1,11.965,,1282-429-1,534-011864,05113651+1638280,,STAR,gri,rpm,4.2,2.3,-6.5,2.5,,,12.757,0.295,12.283,0.244,,,12.297,0.02,11.963,0.04,11.823,0.03,,,10.9,0.027,10.66,0.03,10.626,0.02,6998,276,220,4.136,0.115,0.322,-0.033,0.08,0.08,1.73,0.916,0.308,1.529,0.298,0.137,0.289,0.186,0.199,533.1,301,90.71,0.328,0.106,0.058,AAA-222-111-000-0-0,22.2,
8,8,8,8,8,8,246888446,05 13 28.982,+16 38 29.61,1,15.496,,,534-012333,05132898+1638297,6519-301-5-0134-0232,STAR,gri,rpm,-0.7,4,-1.4,4.7,,,16.334,0.05,15.706,0.12,,,16.022,0.02,15.481,0.04,15.27,0.01,,,14.2,0.029,13.899,0.036,13.777,0.042,6397,268,214,4.21,0.12,0.192,-0.283,0.18,0.27,1.371,0.369,0.215,1.157,0.187,0.187,0.395,0.217,0.181,1777,530.2,302.3,0.427,0.095,0.068,AAA-222-111-000-0-0,19.1,
9,9,9,9,9,9,246888503,05 13 31.836,+16 38 30.99,1,17.157,,,534-012339,05133183+1638310,,STAR,BV,rpm,0.3,5.8,-13.4,6.8,,,17.035,0.1,17.037,0.101,,,,,,,,,,,14.65,0.033,14.338,0.046,14.23,0.051,6176,308,256,4.28,0.13,0.182,-0.356,0.25,0.4,1.193,0.32,0.214,0.999,0.192,0.16,0.568,0.364,0.284,1739,559.7,360.8,0.482,0.16,0.12,AAA-222-111-000-0-0,10.9,
10,10,10,10,10,10,246888506,05 12 06.920,+16 38 31.06,1,12.529,,1283-1033-1,534-011959,05120688+1638311,,STAR,gri,rpm,4.2,2.9,-5.2,2.9,,,12.552,0.297,11.603,0.164,,,12.721,0.031,12.465,0.041,12.422,0.061,,,11.515,0.022,11.3,0.016,11.206,0.017,7350,425,354,4.122,0.125,0.2,-0.112,0.15,0.12,1.746,0.598,0.294,1.569,0.25,0.139,0.261,0.167,0.143,773.4,234,133.1,0.371,0.109,0.078,AAA-222-111-000-0-0,18.2,
