EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,float,float,float,float,float,float,float
248758583,10 58 57.893,+09 40 44.23,1,10.755,,847-221-1,499-055553,10585788+0940443,,STAR,gri,-8.9,1.9,-16.4,1.8,,,11.376,0.07,10.941,0.074,,,11.088,0.04,10.774,0.06,10.613,0.02,,,9.849,0.027,9.581,0.026,9.45,0.021,6154,4.075,-0.091,1.58,1.187,0.264,283.5,0.032
248758586,10 57 58.677,+09 40 44.46,1,18.3,,,,10575867+0940444,6160-301-4-0052-0151,STAR,gri,-29,3,-32,3,,,,,,,23.277,0.533,19.715,0.014,18.381,0.008,17.694,0.007,17.288,0.014,15.992,0.103,15.568,0.152,,,,,,,,,,
248758587,10 40 51.385,+09 40 44.49,1,11.437,,839-320-1,499-055170,10405138+0940445,,STAR,gri,-20.8,2.3,-28.5,2.4,,,12.481,0.263,11.866,0.195,,,12.097,0.04,11.432,0.04,11.154,0.05,,,10.035,0.023,9.543,0.022,9.413,0.02,4997,3.51,-0.222,3.034,1.124,0.038,469.2,0.033
248758591,10 24 29.667,+09 40 44.93,1,17.561,,,,10242966+0940449,3031-301-6-0241-0172,EXTENDED,gri,1,3,-13,3,,,,,,,20.018,0.081,18.51,0.011,17.603,0.008,17.154,0.008,16.819,0.018,16.377,0.159,15.781,0.206,15.068,0.168,,,,,,,,
248758598,10 21 15.914,+09 40 45.89,1,17.499,,,,10211591+0940458,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.003,0.137,15.441,0.176,14.995,0.187,3850,4.911,-0.26,0.321,0.372,8.248,591.2,0.032
248758617,10 28 32.413,+09 40 46.86,1,17.653,,,,10283241+0940468,3518-301-5-0111-0117,EXTENDED,gri,-12,3,21,3,,,,,,,20.575,0.084,18.746,0.01,17.616,0.007,17.184,0.007,16.865,0.015,16.205,0.134,15.64,0.184,14.827,0.145,,,,,,,,
248758623,10 58 34.712,+09 40 47.28,1,14.795,,,499-055541,10583470+0940473,6160-301-4-0053-0018,STAR,gri,11.1,3.1,-33.2,3.5,,,16.884,0.13,15.441,0.03,,,16.185,0.05,14.877,0.06,14.199,0.11,,,12.749,0.024,12.071,0.027,11.899,0.023,3978,4.827,0.015,0.451,0.513,5.46,181.8,0.026
248758624,10 57 15.312,+09 40 47.31,1,12.014,,847-328-1,499-055513,10571529+0940473,,STAR,gri,-11.8,2.2,-9.2,2.6,,,13.015,0.37,12.05,0.218,,,12.595,0.02,12.039,0.04,11.766,0.03,,,10.71,0.026,10.312,0.027,10.199,0.025,5208,3.719,-0.36,2.299,1.043,0.082,519.5,0.032
248758628,10 24 51.027,+09 40 47.73,1,12.089,,838-738-1,499-054833,10245101+0940476,,STAR,gri,-19.2,2.9,-0.4,2.8,,,12.853,0.435,11.407,0.152,,,12.45,0.05,12.088,0.06,11.934,0.04,,,11.072,0.022,10.796,0.022,10.723,0.021,6078,4.216,-0.225,1.322,1.082,0.457,415.8,0.031
248758649,10 53 53.323,+09 40 49.75,1,17.813,,,,10535332+0940497,6160-301-4-0045-0125,EXTENDED,gri,-2,3,-5,3,,,,,,,23.043,1.027,19.216,0.017,17.781,0.009,17.212,0.007,16.841,0.019,16.264,0.136,15.711,0.184,14.889,0.13,,,,,,,,
248758659,10 54 18.503,+09 40 50.17,1,12.08,,,499-055449,10541849+0940503,,STAR,gri,-40.7,1.1,2.3,1.4,,,13.046,0.03,12.325,0.02,,,12.605,0.03,12.108,0.03,11.855,0.01,,,10.838,0.023,10.454,0.023,10.339,0.021,5435,3.554,-1.148,2.257,0.866,0.05,601.3,0.035
248758663,10 30 38.116,+09 40 50.41,1,12.799,,,499-054951,10303809+0940502,,STAR,gri,13.4,2.7,-10.8,2.3,,,13.65,0.01,12.972,0.01,,,13.254,0.02,12.771,0.05,12.604,0.05,,,11.589,0.022,11.252,0.022,11.142,0.021,5700,4.075,-0.024,1.507,1.037,0.288,559.4,0.033
248758668,10 28 23.700,+09 40 50.76,1,17.651,,,,10282369+0940507,3518-301-5-0110-0207,EXTENDED,gri,2,3,0,3,,,,,,,20.704,0.088,18.667,0.01,17.644,0.007,17.216,0.007,16.826,0.014,16.005,0.097,15.197,0.146,14.663,0.113,,,,,,,,
248758676,10 42 00.825,+09 40 51.94,1,12.529,,,499-055203,10420081+0940519,,STAR,gri,-37.7,1.3,-62.9,2.2,,,13.254,0.04,12.698,0.02,,,12.909,0.03,12.545,0.05,12.366,0.04,,,11.528,0.024,11.213,0.022,11.143,0.021,5914,4.421,-0.77,0.906,0.81,1.037,339.2,0.03
248758682,10 18 34.784,+09 40 52.46,1,13.132,,,499-054663,10183478+0940523,,STAR,gri,-10.6,2.3,4.8,2.8,,,14.407,0.03,13.463,0.03,,,13.863,0.04,13.132,0.05,12.819,0.04,,,11.592,0.023,11.052,0.023,10.941,0.023,4882,2.825,-0.595,5.47,0.928,0.004,1758,0.033
248758691,10 40 20.839,+09 40 53.37,1,10.37,,839-1005-1,499-055154,10402083+0940533,,STAR,gri,-16,1.8,-8.6,1.8,,,11.052,0.064,10.432,0.05,,,10.772,0.01,10.345,0.03,10.197,0.08,,,9.215,0.021,8.97,0.026,8.867,0.024,6065,4.006,0.023,1.681,1.228,0.204,222.5,0.029
248758713,10 55 40.770,+09 40 55.15,1,16.32,,,,10554076+0940551,6160-301-4-0048-0162,EXTENDED,gri,5,2,5,2,,,,,,,18.008,0.044,16.83,0.007,16.38,0.007,16.102,0.008,15.958,0.027,16.604,0.171,,,,,,,,,,,,
