EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
201429262,10 54 43.650,-00 31 08.92,1,14.967,,,448-052171,10544364-0031089,,STAR,gri,-6.8,3.9,-17.6,5.3,,,16.566,0.07,15.397,0.04,,,16.017,0.02,14.916,0.04,14.518,0.16,,,13.328,0.024,12.734,0.024,12.631,0.029,4449,4.687,-0.019,0.618,0.68,2.811,368.5,0.032
201430762,10 54 02.160,-00 29 49.29,1,14.64,,,448-052151,10540214-0029492,,STAR,gri,10.1,2.5,10.1,5.2,,,15.876,0.04,14.976,0.04,,,15.386,0.04,14.667,0.01,14.32,0.12,,,13.285,0.026,12.825,0.032,12.706,0.029,5093,4.577,-0.176,0.769,0.827,1.751,562,0.034
201430939,10 53 25.541,-00 29 39.80,1,18.259,,,,10532554-0029398,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.705,0.144,,,,,,,,,,,,
201431190,10 53 20.946,-00 29 27.79,1,17.967,,,,10532094-0029277,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.435,0.111,15.754,0.143,15.212,0.173,3770,4.99,-0.228,0.285,0.303,11.31,564.4,0.033
201431984,10 53 59.629,-00 28 46.52,1,18.699,,,,10535962-0028465,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,16.079,0.104,15.229,0.092,14.981,0.139,3969,4.884,-0.26,0.376,0.435,6.454,689.6,0.032
201432063,10 54 10.895,-00 28 42.85,1,16.333,,,,10541089-0028428,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,13.904,0.029,13.284,0.032,12.985,0.033,3587,5.029,-0.037,0.252,0.246,14.84,143.2,0.024
201432493,10 53 10.489,-00 28 19.96,1,17.524,,,,10531048-0028199,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.026,0.086,15.444,0.102,,,,,,,,,,
201432624,10 52 42.574,-00 28 13.27,1,14.592,,,448-052123,10524258-0028131,,STAR,gri,14.5,5.2,-11.2,6.8,,,15.607,0.05,14.799,0.02,,,15.132,0.03,14.57,0.01,14.36,0.05,,,13.35,0.024,12.959,0.026,12.836,0.033,5491,4.519,-0.386,0.825,0.852,1.465,666.6,0.034
201432656,10 54 21.138,-00 28 11.18,1,14.349,,,448-052161,10542113-0028112,,STAR,gri,-3.5,17,4.4,10.2,,,15.93,0.01,14.773,0.02,,,15.369,0.05,14.305,0.02,13.913,0.06,,,12.69,0.024,12.118,0.027,11.961,0.023,4475,4.691,-0.178,0.605,0.668,2.988,274.1,0.031
201432776,10 54 05.888,-00 28 04.53,1,14.588,,,448-052154,10540587-0028045,,STAR,gri,-0.1,4.1,7.3,3.4,,,15.862,0.04,14.927,0.02,,,15.373,0.03,14.564,0.01,14.252,0.09,,,13.108,0.022,12.685,0.024,12.513,0.026,5021,4.559,0.03,0.788,0.853,1.7,510.6,0.037
