EPIC,KepMag,Kmag,Teff,Radius,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,float,float,integer,float,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201429262,14.967,12.631,4449,0.618,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201430762,14.64,12.706,5093,0.769,0.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201430939,18.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201431190,17.967,15.212,3770,0.285,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201431984,18.699,14.981,3969,0.376,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201432063,16.333,12.985,3587,0.252,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201432493,17.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201432624,14.592,12.836,5491,0.825,0.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201432656,14.349,11.961,4475,0.605,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201432776,14.588,12.513,5021,0.788,0.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201432946,15.203,11.246,3538,0.262,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201434045,12.523,10.906,5622,0.957,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201435228,17.286,14.604,3927,0.374,0.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201436056,16.347,13.448,2033,0.094,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201436231,16.745,14.162,3858,0.343,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201436238,17.053,14.23,3668,0.271,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201436499,15.749,12.589,3545,0.243,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201436931,13.107,11.458,4832,21.27,0.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201437341,9.71,7.527,4817,3.758,1.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201437560,12.368,10.409,4870,4.165,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
