,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
1,1,1,211898145,08 38 26.209,+18 41 58.05,1,15.241,,,544-046481,08382620+1841580,5037-301-1-0110-0063,STAR,gri,rpm,3.9,3.5,-3.9,3.8,,,16.476,0.12,15.552,0.03,,,16.021,0.03,15.194,0.08,14.906,0.1,,,13.771,0.029,13.179,0.033,13.065,0.025,4747,142,114,4.635,0.035,0.07,-0.201,0.2,0.32,0.685,1.868,0.052,0.743,0.081,0.068,2.214,0.387,2.189,567.1,2368,62.83,0.032,0.011,0.007,,,
2,2,2,211898172,08 38 32.479,+18 41 59.91,1,19.242,,,,08383247+1841599,5037-301-1-0110-0369,STAR,gri,,10,4,-55,4,,,,,,,23.703,0.455,20.817,0.026,19.301,0.012,18.567,0.01,18.123,0.021,16.645,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,211898181,08 40 37.884,+18 42 00.44,1,11.683,,1395-1147-1,544-046598,08403786+1842003,,STAR,gri,rpm,-9,2.4,-6.4,2.6,,,12.581,0.346,11.515,0.164,,,12.393,0.01,11.646,0.03,11.378,0.02,,,10.272,0.02,9.804,0.021,9.7,0.016,4966,59,59,2.964,0.455,0.637,-0.447,0.25,0.25,5.269,4.967,1.99,1.046,0.222,0.121,0.005,0.026,0.005,873.9,807.4,326.3,0.034,0.011,0.008,,,
4,4,4,211898245,08 57 45.192,+18 42 03.66,1,18.58,,,,,5112-301-4-0167-0199,EXTENDED,gri,,4,3,-2,3,,,,,,,20.297,0.078,19.078,0.013,18.62,0.013,18.367,0.016,18.143,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,211898261,09 07 25.112,+18 42 04.59,1,13.485,,,544-047591,09072510+1842045,,STAR,gri,rpm,-19.7,3,-8.9,3.4,,,14.547,0.06,13.739,0.04,,,14.094,0.02,13.437,0.01,13.224,0.04,,,12.183,0.023,11.746,0.028,11.632,0.026,5255,105,105,4.536,0.036,1.05,-0.22,0.24,0.56,0.833,1.99,0.056,0.888,0.045,0.075,1.515,0.177,1.476,382.2,877.6,35.23,0.031,0.008,0.007,,,
6,6,6,211898322,09 05 04.381,+18 42 08.28,1,12.135,,,544-047502,09050438+1842084,,STAR,gri,rpm,-5.2,0.8,-2.4,0.9,,,12.863,0.06,12.279,0.03,,,12.478,0.04,12.119,0.01,11.988,0.11,,,11.067,0.025,10.725,0.025,10.659,0.023,6036,144,120,4.06,0.264,0.22,-0.244,0.2,0.28,1.478,0.493,0.432,1.066,0.215,0.179,0.261,0.425,0.144,474.8,141.1,145,0.031,0.007,0.006,,,
7,7,7,211898529,08 44 56.116,+18 42 19.83,1,15.25,,,544-046761,08445610+1842197,5071-301-3-0114-0126,STAR,gri,lam,1.1,6.5,0.2,6.5,,,16.129,0.03,15.361,0.09,,,15.711,0.04,15.18,0.08,15.053,0.04,,,14.142,0.033,13.761,0.036,13.63,0.039,5205,124,82,3.515,0.154,0.11,-0.822,0.15,0.15,2.664,0.378,0.432,0.896,0.018,0.018,0.045,0.032,0.016,2855,392.9,409.2,0.031,0.01,0.005,,,
8,8,8,211898571,09 02 14.930,+18 42 21.82,1,17.028,,,,09021492+1842218,5080-301-4-0149-0248,EXTENDED,gri,,-6,3,8,3,,,,,,,19.75,0.075,18.153,0.009,17.063,0.006,16.546,0.006,16.195,0.014,16.153,0.103,15.236,0.099,14.877,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,211898675,08 57 05.722,+18 42 26.77,1,14.622,,,544-047228,08570572+1842267,,STAR,gri,rpm,-54.9,4.6,-42.8,4.9,,,16.572,0.02,15.23,0.01,,,15.981,0.08,14.696,0.051,14.039,0.03,,,12.547,0.022,11.958,0.028,11.784,0.023,3847,61,76,4.928,0.048,0.048,-0.174,0.15,0.12,0.353,0.049,0.043,0.383,0.066,0.055,8.48,2.394,1.587,123.1,21.99,16.18,0.018,0.01,0.005,,,
