EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
211390837,09 09 05.788,+11 29 49.53,1,17.827,,,,09090578+1129495,6004-301-2-0142-0098,EXTENDED,gri,,8,3,-4,3,,,,,,,20.299,0.079,18.908,0.012,17.836,0.008,17.363,0.007,17.025,0.015,16.534,0.154,15.444,0.143,14.927,0.168,,,,,,,,,,,,,,,,,,,,,,,,
211390956,09 08 08.035,+11 29 57.09,1,10.758,,815-643-1,508-049994,09080803+1129571,,STAR,gri,rpm,-16.6,1.6,-4.7,1.5,,,11.33,0.057,10.889,0.055,,,11.038,0.08,10.72,0.05,10.639,0.1,,,9.802,0.024,9.569,0.026,9.469,0.024,6310,188,188,4.077,0.2,0.24,-0.028,0.12,0.18,1.665,0.68,0.413,1.307,0.239,0.171,0.245,0.273,0.145,311.5,127.3,77.38,0.029,0.008,0.007
211391261,09 08 52.858,+11 30 16.63,1,14.27,,,508-050024,09085285+1130165,6004-301-2-0142-0069,STAR,gri,rpm,-5.8,3.9,-5,4.8,,,15.647,0.06,14.656,0.1,,,15.11,0.07,14.279,0.05,13.91,0.01,,,12.657,0.026,12.063,0.022,11.941,0.027,4643,92,73,4.551,0.126,3.258,-0.431,0.4,1.04,0.776,32.043,0.147,0.785,0.162,0.09,1.543,1.041,1.543,392.5,14430,103.6,0.034,0.007,0.007
211392828,09 09 43.170,+11 31 48.70,1,17.796,,,,09094317+1131487,6004-301-2-0144-0324,EXTENDED,gri,,4,3,7,3,,,,,,,20.498,0.091,18.824,0.012,17.826,0.007,17.355,0.007,16.952,0.014,16.452,0.157,15.811,0.191,15.034,0.176,,,,,,,,,,,,,,,,,,,,,,,,
211392892,09 05 59.464,+11 31 52.10,1,17.481,,,,09055946+1131520,5972-301-3-0140-0227,EXTENDED,gri,,-1,2,4,2,,,,,,,19.389,0.037,18.21,0.007,17.537,0.006,17.169,0.006,16.931,0.016,16.521,0.185,15.96,0.199,15.109,0.191,,,,,,,,,,,,,,,,,,,,,,,,
211393018,09 06 45.669,+11 32 00.27,1,12.066,,815-1383-1,508-049938,09064566+1132004,,STAR,gri,rpm,-6,2,-1.5,2.2,,,12.88,0.29,11.98,0.166,,,12.202,0.04,12.021,0.14,11.864,0.04,,,11.06,0.024,10.903,0.027,10.816,0.023,6714,244,244,4.082,0.165,0.198,-0.057,0.12,0.12,1.732,0.539,0.35,1.446,0.177,0.147,0.237,0.194,0.121,612.5,203.9,130.4,0.034,0.008,0.008
211393336,09 07 57.881,+11 32 19.57,1,16.367,,,,09075788+1132195,5972-301-3-0143-0376,EXTENDED,gri,,-9,2,3,2,,,,,,,18.173,0.024,16.968,0.005,16.421,0.005,16.109,0.005,15.894,0.011,16.216,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211393582,09 07 37.630,+11 32 33.29,1,11.674,,815-182-1,508-049971,09073764+1132332,,STAR,gri,rpm,-4.7,1.9,-10.9,2.1,,,12.298,0.163,12.226,0.174,,,11.8,0.06,11.631,0.11,11.499,0.03,,,10.714,0.021,10.482,0.021,10.468,0.021,6395,194,194,4.168,0.13,0.208,-0.104,0.15,0.21,1.491,0.56,0.238,1.238,0.177,0.126,0.346,0.223,0.195,416.2,155.7,61.14,0.03,0.008,0.007
211393628,09 08 04.848,+11 32 35.80,1,15.366,,,508-049992,09080484+1132359,5972-301-3-0144-0016,STAR,gri,rpm,5.5,6.2,0.4,6.6,,,16.358,0.15,15.715,0.05,,,16.024,0.03,15.444,0.08,15.084,0.08,,,14.092,0.03,13.642,0.029,13.585,0.036,5255,155,155,4.549,0.055,1.089,-0.413,0.3,0.54,0.813,2.207,0.105,0.843,0.064,0.09,1.544,0.4,1.511,891,2273,144.4,0.033,0.01,0.007
211393646,09 05 15.278,+11 32 36.63,1,17.201,,,,09051527+1132366,5972-301-3-0139-0231,EXTENDED,gri,,2,2,10,2,,,,,,,20.209,0.06,18.264,0.007,17.191,0.005,16.746,0.005,16.389,0.01,15.861,0.085,15.079,0.101,14.076,0.078,,,,,,,,,,,,,,,,,,,,,,,,
211393729,09 08 01.060,+11 32 41.06,1,15.018,,,508-049989,09080105+1132411,5972-301-3-0144-0007,STAR,gri,rpm,-7.2,3.7,2.5,4.5,,,16.398,0.01,15.478,0.053,,,15.898,0.03,15.076,0.06,14.64,0.01,,,13.449,0.026,12.902,0.029,12.712,0.027,4717,112,112,4.636,0.08,1.808,-0.31,0.3,0.9,0.681,24.285,0.106,0.74,0.059,0.142,2.186,1.047,2.186,463.5,4053,97.86,0.034,0.009,0.009
211394171,09 04 57.001,+11 33 06.44,1,18.989,,,,09045700+1133064,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,16.214,0.123,15.421,0.123,15.066,0.164,3920,434,362,4.896,0.15,0.15,-0.254,0.25,0.3,0.367,0.149,0.139,0.423,0.168,0.202,7.204,9.3,3.594,738.1,456.2,323.8,0.032,0.01,0.007
211394406,09 04 49.003,+11 33 18.87,1,9.284,,815-1523-1,508-049861,09044900+1133189,,STAR,gri,rpm,23.2,1.1,-37.8,1,,,9.999,0.038,9.25,0.026,,,10.222,0.34,9.441,0.06,8.881,0.05,,,7.992,0.024,7.644,0.046,7.553,0.018,5056,151,181,2.747,0.891,0.405,-0.585,0.48,0.4,6.558,3.115,4.076,0.947,0.252,0.069,0.003,0.046,0.002,364,197.2,210.8,0.028,0.013,0.008
211394439,09 06 10.873,+11 33 20.82,1,14.569,,,508-049909,09061086+1133208,5972-301-3-0141-0016,STAR,gri,rpm,-5.1,3.9,2.9,4.8,,,15.79,0.03,14.883,0.07,,,15.279,0.05,14.565,0.08,14.265,0.09,,,13.118,0.024,12.61,0.023,12.493,0.026,4977,119,99,3.565,1.05,1.05,-0.401,0.35,0.49,2.178,4.506,1.611,0.869,0.126,0.105,0.041,1.352,0.039,1539,2899,1107,0.034,0.01,0.008
