,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
1,1,1,251567239,13 41 06.595,-02 00 59.26,1,17.347,,,,13410659-0200592,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.862,0.089,14.84,0.089,14.39,0.117,3977,273,493,4.862,0.242,0.132,-0.176,0.25,0.3,0.413,0.112,0.192,0.471,0.121,0.267,5.896,9.974,2.302,659.7,344.3,394.1,0.039,0.027,0.015,AAB-222-111-000-0-0,6,0879-0332634
2,2,2,251567311,13 38 08.318,-02 00 54.34,1,14.134,,,440-056412,13380832-0200542,2334-301-4-0058-0116,STAR,gri,rpm,-3.5,2.9,5.3,3.4,,,15.331,0.01,14.403,0.06,,,14.822,0.05,14.117,0.04,13.839,0.1,,,12.648,0.026,12.162,0.027,12.132,0.028,5061,120,100,3.049,1.314,0.73,-0.693,0.4,0.4,3.721,4.764,2.877,0.899,0.055,0.077,0.009,0.796,0.008,2154,2536,1623,0.041,0.025,0.014,AAA-222-111-000-0-0,74.6,
3,3,3,251567340,13 48 53.944,-02 00 52.40,1,18.261,,,,13485394-0200524,6174-301-4-0118-0195,EXTENDED,gri,,1,3,-1,3,,,,,,,21.473,0.206,19.443,0.016,18.255,0.009,17.755,0.009,17.456,0.024,16.749,0.169,15.835,0.183,15.266,0.167,,,,,,,,,,,,,,,,,,,,,,,,,CCC-222-111-000-0-0,51.1,
4,4,4,251567347,13 29 57.840,-02 00 51.79,1,15.399,,,,13295784-0200517,2334-301-4-0044-0089,EXTENDED,gri,,-5,3,-3,3,,,,,,,17.807,0.028,16.276,0.004,15.463,0.003,15.023,0.003,14.645,0.008,15.005,0.086,14.143,0.079,13.777,0.076,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,27.6,
5,5,5,251567364,13 48 43.275,-02 00 50.63,1,14.187,,,440-056712,13484327-0200504,6174-301-4-0118-0112,STAR,gri,rpm,63.4,3.1,-67.6,4,,,16.759,0.11,15.191,0.03,,,16.046,0.05,14.592,0.07,13.39,0.12,,,11.599,0.027,10.98,0.025,10.711,0.02,3449,96,41,5.091,0.035,0.098,-0.043,0.24,0.15,0.199,0.074,0.02,0.186,0.091,0.022,22.25,4.81,9.388,41.11,22.12,4.89,0.012,0.008,0.003,AAA-222-111-000-0-0,53.9,
6,6,6,251567386,13 33 45.802,-02 00 49.17,1,12.308,,,440-056283,13334580-0200488,,STAR,gri,rav,151.2,8,-108.9,8,,,14.561,0.04,13.27,0.13,,,13.936,0.07,12.693,0.05,11.61,0.05,,,9.796,0.022,9.161,0.022,8.9,0.021,4106,148,123,4.936,0.07,0.07,-0.621,0.15,0.21,0.34,0.061,0.07,0.392,0.079,0.095,9.078,4.474,2.577,36.57,8.214,7.893,0.009,0.005,0.003,AAA-222-111-000-0-0,9.2,
7,7,7,251567397,13 45 57.738,-02 00 48.45,1,14.167,,,440-056625,13455773-0200483,,STAR,gri,rpm,3.4,2.6,-0.4,7.8,,,14.977,0.06,14.257,0.05,,,14.572,0.03,14.134,0.13,13.993,0.13,,,12.969,0.022,12.632,0.028,12.565,0.025,5871,171,205,4.323,0.144,0.36,-0.246,0.25,0.4,1.089,0.55,0.171,0.957,0.128,0.091,0.695,0.381,0.491,805.4,383.7,156.7,0.042,0.022,0.014,AAA-222-111-000-0-0,23.6,
8,8,8,251567406,13 42 19.630,-02 00 47.59,1,13.264,,,440-056512,13421963-0200476,,STAR,gri,rpm,-12.8,3.8,-18.9,3.9,,,13.869,0.04,13.269,0.05,,,13.507,0.01,13.165,0.09,13.16,0.13,,,12.194,0.022,11.968,0.023,11.882,0.028,6194,178,127,4.26,0.085,0.17,-0.252,0.2,0.44,1.264,0.275,0.166,1.058,0.137,0.165,0.486,0.216,0.216,679.7,140.5,116.4,0.041,0.015,0.011,AAA-222-111-000-0-0,41.3,
9,9,9,251567415,13 30 18.439,-02 00 46.54,1,16.599,,,,13301843-0200465,2334-301-4-0045-0192,EXTENDED,gri,,-4,3,-4,3,,,,,,,19.569,0.06,17.601,0.006,16.609,0.004,16.17,0.004,15.83,0.01,15.525,0.079,14.669,0.079,14.248,0.073,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,30.9,
10,10,10,251567434,13 17 35.192,-02 00 45.33,1,18.394,,,,13173519-0200453,2334-301-4-0024-0104,STAR,gri,,5,4,-23,4,,,,,,,21.666,0.156,19.491,0.013,18.395,0.008,17.924,0.008,17.689,0.021,16.565,0.11,16.014,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,BBU-220-110-000-0-0,26.2,
