,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
1,1,1,211920142,08 40 29.581,+19 01 37.61,1,13.503,,,546-046689,08402957+1901377,,STAR,gri,rpm,-4,2,4.6,2.1,,,13.985,0.02,13.525,0.01,,,13.669,0.01,13.447,0.02,13.371,0.01,,,12.708,0.022,12.503,0.023,12.484,0.026,6624,132,106,4.171,0.126,0.126,-0.216,0.12,0.3,1.466,0.293,0.207,1.241,0.132,0.158,0.367,0.176,0.138,1058,234,140.7,0.032,0.007,0.006
2,2,2,211920155,08 26 36.444,+19 01 38.44,1,11.61,,1387-823-1,546-046024,08263642+1901385,,STAR,gri,plx,-19.9,1.9,-18.7,2,,,12.142,0.159,12.137,0.219,,,12.042,0.02,11.596,0.01,11.425,0.01,,,10.568,0.021,10.265,0.022,10.193,0.021,5888,71,71,4.423,0.04,0.048,-0.146,0.15,0.18,1.001,0.078,0.06,0.988,0.072,0.087,0.944,0.152,0.155,248.3,21.91,21.91,0.027,0.008,0.007
3,3,3,211920158,08 37 01.688,+19 01 38.65,1,10.2,,1395-855-1,546-046524,08370168+1901384,,STAR,gri,plx,-15.7,1.5,-8.5,1.6,,,11.58,0.13,10.375,0.057,,,10.95,0.02,10.303,0.09,9.879,0.01,,,8.74,0.029,8.305,0.031,8.171,0.021,5021,124,124,3.021,0.315,0.567,-0.567,0.35,0.42,4.986,4.603,1.618,1.034,0.34,0.142,0.008,0.014,0.007,366.8,98.55,98.55,0.03,0.011,0.006
4,4,4,211920209,08 53 41.388,+19 01 42.06,1,16.394,,,546-047221,,,STAR,BV,,1.7,10,-10.3,8.3,,,16.113,0.08,16.231,0.05,,,16.002,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,211920210,08 15 26.249,+19 01 42.09,1,15.119,,,,08152624+1901420,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.072,0.022,12.495,0.03,12.275,0.021,3631,179,179,4.995,0.084,0.07,-0.061,0.15,0.24,0.276,0.063,0.069,0.288,0.089,0.106,12.7,8.572,3.914,115.9,33.39,34.59,0.017,0.007,0.006
6,6,6,211920250,08 30 03.694,+19 01 44.12,1,15.084,,,546-046201,08300369+1901443,5037-301-4-0099-0045,STAR,gri,col,,,,,,,16.612,0.01,15.456,0.06,,,16.156,0.04,15.012,0.055,14.624,0.16,,,13.452,0.025,12.818,0.026,12.681,0.022,4274,127,127,4.756,0.084,0.06,-0.172,0.2,0.28,0.53,0.076,0.09,0.581,0.085,0.085,3.771,1.781,0.91,316,63.05,61.98,0.029,0.01,0.007
7,7,7,211920275,08 53 17.543,+19 01 45.75,1,12.911,,,546-047200,08531754+1901456,,STAR,gri,rpm,-7.3,1.5,-8.4,1.6,,,13.961,0.03,13.138,0.02,,,13.53,0.01,12.867,0.04,12.646,0.06,,,11.635,0.023,11.242,0.021,11.17,0.022,5277,107,107,3.835,0.715,0.33,-0.242,0.25,0.4,1.893,1.149,1.16,0.948,0.205,0.079,0.109,1.575,0.074,660.9,358,405.9,0.032,0.008,0.007
8,8,8,211920311,08 18 50.425,+19 01 47.51,1,14.638,,,546-045592,08185041+1901475,4569-301-3-0087-0048,STAR,gri,rpm,-3.5,4.5,5.9,5,,,15.274,0.05,14.751,0.03,,,14.966,0.01,14.652,0.051,14.498,0.06,,,13.696,0.021,13.44,0.029,13.328,0.036,6219,126,126,4.231,0.115,0.161,-0.451,0.25,0.35,1.225,0.253,0.178,0.978,0.145,0.121,0.496,0.255,0.219,1314,293.7,203.3,0.033,0.011,0.007
9,9,9,211920328,08 24 38.689,+19 01 48.37,1,12.579,,,546-045934,08243868+1901483,,STAR,gri,rpm,7.6,1.9,-29.9,2.4,,,13.573,0.04,12.77,0.03,,,13.13,0.02,12.535,0.01,12.343,0.06,,,11.37,0.02,11,0.022,10.912,0.017,5508,65,87,4.512,0.035,0.063,-0.013,0.12,0.24,0.881,0.078,0.072,0.945,0.051,0.101,1.313,0.23,0.298,284.9,40.26,25.67,0.029,0.011,0.007
10,10,10,211920346,08 17 04.305,+19 01 49.28,1,13.343,,,546-045502,08170430+1901492,,STAR,gri,rpm,-12.3,2.1,3.3,2.6,,,14.018,0.03,13.432,0.02,,,13.666,0.01,13.302,0.02,13.204,0.07,,,12.364,0.021,12.116,0.022,12.049,0.021,6219,99,99,4.223,0.125,0.175,-0.212,0.16,0.28,1.293,0.345,0.188,1.105,0.107,0.149,0.47,0.233,0.224,757.5,190.9,117.5,0.034,0.013,0.008
