EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,2MASS Flag,Nearest Neighbor,Nomad ID
251739305,22 57 40.683,+01 16 57.59,0,16.416,,,,22574068+0116575,7717-301-1-0225-0205,STAR,gri,47,2,-32,2,,,,,,,20.858,0.068,18.184,0.007,16.854,0.005,15.658,0.005,15.036,0.005,13.737,0.023,13.138,0.024,12.95,0.033,AAA-222-111-000-0-0,21.5,
251739310,22 53 48.459,+01 16 59.67,0,16.131,,,457-120902,22534848+0116599,7712-301-1-0219-0214,STAR,JHK,24.7,3.9,17.3,4,,,,,,,,,,,,,,,,,14.522,0.038,13.907,0.04,13.869,0.054,AAA-222-111-000-0-0,39.4,
251739336,22 57 25.205,+01 17 05.07,0,11.993,,,457-121018,22572520+0117052,,STAR,gri,-12.3,1.7,-18.9,2.1,,,13.127,0.01,12.061,0.04,,,12.721,0.01,11.812,0.02,11.681,0.05,,,10.827,0.024,10.424,0.024,10.343,0.023,AAA-222-111-000-0-0,41,
251739374,22 56 17.686,+01 17 12.52,0,10.422,,569-1378-1,457-120986,22561768+0117126,,STAR,gri,60.4,1.6,14.4,1.6,,,11.451,0.078,10.613,0.057,,,11.024,0.03,10.265,0.04,10.164,0.04,,,9.44,0.024,9.163,0.024,9.056,0.023,AAA-222-111-000-0-0,57.5,
251739403,22 53 06.734,+01 17 18.02,0,13.952,,,457-120871,22530673+0117179,7712-301-1-0218-0005,STAR,JHK,54.2,2.4,-16.4,3.5,,,,,,,,,,,,,,,,,12.183,0.024,11.584,0.026,11.472,0.024,AAA-222-111-000-0-0,53.8,
251739544,22 54 31.529,+01 17 45.40,0,16.896,,,,22543152+0117453,7712-301-1-0220-0156,STAR,gri,40,3,-16,3,,,,,,,22.375,0.283,18.946,0.01,17.454,0.005,16.018,0.004,15.163,0.005,13.787,0.027,13.086,0.028,12.809,0.026,AAA-222-111-000-0-0,43.7,
251739549,22 56 27.370,+01 17 46.35,0,13.808,,,457-120992,22562736+0117464,7712-301-1-0223-0033,STAR,gri,60.3,3.2,-4.2,3.7,,,15.062,0.02,13.911,0.03,,,14.616,0.037,13.621,0.02,13.461,0.03,,,12.51,0.024,12.086,0.026,11.993,0.026,AAA-222-111-000-0-0,45.8,
251739560,22 52 51.305,+01 17 48.78,0,15.429,,,457-120865,22525129+0117488,7712-301-1-0217-0128,STAR,JHK,2.5,3,-9.8,3.3,,,,,,,,,,,,,,,,,14.003,0.027,13.554,0.029,13.435,0.04,AAA-222-111-000-0-0,32.7,
251739616,22 55 00.851,+01 17 58.99,0,12.615,,,457-120942,22550084+0117590,,STAR,gri,-9.6,2.6,-47,2.3,,,14.459,0.01,12.909,0.04,,,13.926,0.01,12.424,0.02,12.053,0.06,,,10.879,0.024,10.262,0.024,10.109,0.021,AAA-222-111-000-0-0,49.1,
251739618,22 53 02.176,+01 17 59.34,0,16.151,,,457-120869,22530217+0117593,7712-301-1-0217-0247,STAR,JHK,-9.4,3.3,-19.1,3.5,,,,,,,,,,,,,,,,,14.188,0.03,13.542,0.03,13.416,0.035,AAA-222-111-000-0-0,66.6,
