EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
202483641,16 09 59.701,-29 31 37.05,1,15.294,,,303-089878,16095969-2931369,STAR,JHK,rpm,-39.1,4.5,-20.9,2.9,,,,,,,,,,,,,12.989,0.026,12.307,0.022,12.114,0.024,4031,301,167,4.818,0.045,0.081,-0.059,0.2,0.28,0.467,0.091,0.052,0.526,0.092,0.061,5.078,1.344,1.508,199.5,60.59,27.33,0.197,0.193,0.083,AAA-222-111-000-0-0,,
202488467,16 11 37.745,-29 30 26.16,1,10.884,,,303-090301,16113773-2930261,STAR,gri,rpm,-1.5,2.3,-16.7,1,,,11.767,0.04,11.088,0.03,11.403,0.03,10.852,0.04,10.661,0.06,9.749,0.024,9.429,0.022,9.388,0.024,5985,282,176,4.095,0.3,0.36,0.008,0.15,0.18,1.57,0.907,0.575,1.181,0.325,0.148,0.277,0.54,0.201,265.8,158.4,99.25,0.213,0.12,0.1,AAA-222-111-000-0-0,,
202491250,16 13 03.994,-29 29 46.96,1,12.144,,,303-090647,16130399-2929469,STAR,gri,rpm,1.9,1.7,5.1,1.6,,,12.986,0.041,12.356,0.01,12.633,0.01,12.189,0.02,11.934,0.06,11.195,0.026,10.924,0.024,10.866,0.023,6385,256,220,4.054,0.2,0.24,-0.004,0.12,0.24,1.649,0.779,0.354,1.333,0.258,0.193,0.25,0.249,0.155,552.4,260.9,118.6,0.225,0.091,0.076,AAA-222-111-000-0-0,,
202496545,16 14 18.000,-29 28 29.93,1,12.113,,,303-090877,16141800-2928298,STAR,gri,rpm,4.6,0.8,-13.1,0.9,,,12.922,0.05,12.378,0.05,12.599,0.03,12.185,0.01,11.905,0.15,11.18,0.023,10.975,0.024,10.904,0.024,6591,378,210,4.199,0.06,0.216,0.017,0.15,0.12,1.536,0.542,0.165,1.385,0.179,0.128,0.364,0.116,0.205,533.6,188.9,54.73,0.223,0.139,0.063,AAA-222-111-000-0-0,,
202499459,16 08 14.610,-29 27 48.19,1,11.975,,,303-089529,16081461-2927480,STAR,JHK,rpm,-3.7,1.8,-7.6,1.4,,,,,,,,,,,,,10.772,0.023,10.456,0.022,10.362,0.019,6193,252,252,4.051,0.246,0.328,0.008,0.15,0.18,1.652,1.025,0.43,1.271,0.305,0.229,0.226,0.377,0.154,423.4,260.1,109.5,0.352,0.148,0.172,AAA-222-111-000-0-0,,
202501727,16 12 15.252,-29 27 15.02,1,11.186,,6805-1687-1,303-090477,16121524-2927151,STAR,gri,rpm,-7.4,2.9,-4.8,2.6,,,11.502,0.094,11.381,0.13,11.383,0.03,11.121,0.04,11.033,0.06,10.365,0.024,10.218,0.022,10.115,0.021,7508,392,470,3.984,0.195,0.195,0.017,0.12,0.09,2.187,0.657,0.591,1.823,0.231,0.231,0.152,0.158,0.077,556.7,212.5,131.5,0.328,0.17,0.142,AAA-222-111-000-0-0,,
202502512,16 14 10.845,-29 27 03.40,1,12.48,,,303-090840,16141085-2927033,STAR,gri,rpm,-4.9,1,-4.5,1.1,,,13.454,0.05,12.784,0.05,13.068,0.03,12.55,0.01,12.228,0.2,11.449,0.023,11.188,0.024,11.134,0.026,6299,257,257,4.095,0.205,0.287,0.049,0.12,0.12,1.665,0.832,0.436,1.344,0.287,0.191,0.257,0.268,0.163,602.6,278.9,143.4,0.275,0.108,0.092,AAA-222-111-000-0-0,,
202506039,16 16 52.735,-29 26 12.53,1,12.188,,,303-091435,16165273-2926125,STAR,gri,rpm,-6.1,1.4,-9.7,1.7,,,13.276,0.05,12.476,0.02,12.835,0.02,12.157,0.01,11.911,0.03,10.823,0.024,10.576,0.027,10.427,0.024,6896,125,460,3.935,0.15,0.15,0.064,0.06,0.08,2.211,0.704,0.372,1.633,0.151,0.12,0.144,0.115,0.064,589.2,156,123.3,0.673,0.068,0.102,AAA-222-111-000-0-0,,
202506474,16 08 38.318,-29 26 06.03,1,12.497,,,303-089614,16083831-2926060,STAR,gri,rpm,32.6,7.1,-12.2,1.4,,,13.441,0.042,12.678,0.031,13.025,0.031,12.443,0.041,12.27,0.061,11.613,0.023,11.336,0.022,11.23,0.019,6094,277,197,4.244,0.11,0.132,-0.119,0.24,0.28,1.269,0.225,0.191,1.103,0.172,0.143,0.493,0.264,0.172,491.9,105,86.51,0.258,0.135,0.075,AAA-222-111-000-0-0,,
202507039,16 12 05.280,-29 25 58.12,1,11.183,,6805-1641-1,303-090429,16120529-2925580,STAR,gri,rpm,-23.3,3,-21.7,2.8,,,11.794,0.133,11.177,0.117,11.541,0.03,11.176,0.04,11.03,0.06,10.253,0.024,10.066,0.023,9.961,0.023,6852,256,341,4.083,0.147,0.084,0.048,0.2,0.2,1.774,0.384,0.371,1.485,0.249,0.249,0.245,0.175,0.089,395.4,103.3,81.9,0.356,0.014,0.161,AAA-222-111-000-0-0,,
202512864,16 16 04.355,-29 24 35.07,1,12.874,,,303-091272,16160435-2924351,STAR,gri,rav,-5.8,1.3,-4.5,2.2,,,14.947,0.08,13.466,0.02,14.245,0.02,12.847,0.01,12.286,0.02,10.585,0.024,9.954,0.026,9.78,0.021,4611,92,111,2.381,0.06,0.096,-0.064,0.12,0.12,11.68,1.407,0.597,1.184,0.186,0.103,7.53E-04,1.12E-04,2.12E-04,1837,212.8,138.4,0.359,0.258,0.155,AAA-222-111-000-0-0,,
202514927,16 13 43.331,-29 24 06.34,1,12.358,,,303-090769,16134333-2924062,STAR,gri,rpm,-10.6,1,-19.1,1,,,13.361,0.042,12.602,0.031,12.943,0.031,12.361,0.041,12.108,0.061,11.172,0.024,10.858,0.022,10.763,0.023,6044,188,188,4.23,0.15,0.18,-0.059,0.18,0.36,1.236,0.369,0.21,1.076,0.164,0.137,0.492,0.324,0.25,397.6,120.3,80.6,0.282,0.134,0.096,AAA-222-111-000-0-0,,
202515599,16 10 15.418,-29 23 56.25,1,15.263,,,,16101541-2923562,STAR,JHK,col,,,,,,,,,,,,,,,,,12.958,0.024,12.377,0.025,12.083,0.024,3601,2860,173,4.989,0.1,0.9,-0.012,0.18,0.21,0.261,1.411,0.072,0.262,1.069,0.081,13.24,9.507,12.97,96.29,731.6,27.49,0.135,1.785,0.095,AAA-222-111-000-0-0,,
202517891,16 17 40.307,-29 23 23.19,1,11.992,,,304-088633,16174030-2923230,STAR,gri,rpm,-6,1.6,-5.5,1.5,,,13.118,0.05,12.317,0.02,12.686,0.02,11.989,0.02,11.694,0.06,10.59,0.024,10.249,0.022,10.162,0.021,6090,333,333,3.991,0.371,0.265,0.02,0.15,0.21,1.741,1.038,0.65,1.25,0.419,0.209,0.173,0.452,0.114,423.3,258.5,160.5,0.475,0.126,0.168,AAA-222-111-000-0-0,,
202518093,16 14 01.448,-29 23 20.20,1,15.02,,,304-087824,16140145-2923201,STAR,JHK,rpm,-32.6,2.6,22.5,2.4,,,,,,,,,,,,,12.922,0.022,12.337,0.022,12.11,0.023,3669,87,109,4.98,0.056,0.048,0.009,0.12,0.18,0.301,0.045,0.051,0.323,0.06,0.081,11.06,4.347,2.434,114.4,20.31,23.4,0.093,0.055,0.039,AAA-222-111-000-0-0,,
202518676,16 14 45.715,-29 23 11.80,1,10.495,,6805-1678-1,304-088000,16144571-2923117,STAR,gri,rpm,-3,2.5,3,2.1,,,11.039,0.059,10.503,0.051,10.699,0.02,10.427,0.03,10.294,0.03,9.59,0.023,9.438,0.028,9.365,0.024,7297,1184,493,3.861,0.275,0.275,0.041,0.12,0.08,2.533,1.354,0.883,1.946,0.358,0.43,0.119,0.194,0.082,446.4,209.3,142.5,0.283,0.326,0.13,AAA-222-111-000-0-0,,
202520669,16 17 06.833,-29 22 42.15,1,14.756,,,304-088514,16170682-2922421,STAR,gri,rpm,16.5,1.9,9.8,2.8,,,17.407,0.113,15.626,0.056,16.453,0.058,14.849,0.053,14.029,0.07,12.209,0.024,11.578,0.026,11.353,0.021,5909,70,70,4.093,0.32,0.08,-0.206,0.18,0.12,1.516,0.12,0.51,1.026,0.043,0.085,0.294,0.602,0.066,488.9,64.73,152.2,1.729,0.091,0.065,AAA-222-111-000-0-0,,
202521463,16 10 45.103,-29 22 30.80,1,11.989,,,304-087055,16104510-2922308,STAR,gri,rpm,-4.3,1.1,-4.3,1.7,,,12.269,0.04,11.98,0.03,12.024,0.03,11.977,0.04,11.997,0.061,11.429,0.023,11.35,0.027,11.287,0.023,8284,580,414,4.108,0.085,0.136,0.055,0.09,0.12,2.022,0.445,0.236,1.995,0.219,0.219,0.215,0.102,0.087,937.6,190.7,134,0.23,0.114,0.062,AAA-222-111-000-0-0,,
202521690,16 13 18.447,-29 22 27.63,1,12.617,,,304-087702,16131844-2922275,STAR,JHK,rpm,-10.5,3.8,-27.3,6.2,,,,,,,,,,,,,10.151,0.024,9.431,0.022,9.216,0.021,4773,57,57,2.829,0.4,0.5,-0.233,0.25,0.6,6.328,3.303,2.17,1.118,0.114,0.183,0.004,0.012,0.003,724.6,464.2,237,0.985,0.142,0.227,AAA-222-111-000-0-0,,
202521931,16 21 37.120,-29 22 23.99,1,9.764,,6806-174-1,304-089402,16213712-2922239,STAR,gri,rpm,4.2,2.6,3,2.3,,,10.452,0.039,9.919,0.033,10.182,0.04,9.829,0.05,9.584,0.01,8.785,0.026,8.524,0.047,8.451,0.021,6393,401,251,3.899,0.198,0.33,-0.033,0.1,0.06,2.174,1.471,0.609,1.522,0.437,0.218,0.128,0.168,0.094,233.1,220.1,50.65,0.21,0.242,0.101,AAA-112-111-000-0-0,,
202522205,16 13 17.376,-29 22 19.91,1,12.325,,,304-087700,16131738-2922198,STAR,JHK,rpm,-24.7,1.9,-23.1,1.3,,,,,,,,,,,,,9.849,0.024,9.134,0.022,8.909,0.021,4929,49,158,2.575,0.384,0.02,-0.914,0.84,0.05,8.062,0.161,2.816,0.899,0.147,0.018,0.002,0.005,1.02E-04,675.9,118.6,20.28,1.133,0.001,0.28,AAA-222-111-000-0-0,,
202522885,16 17 22.713,-29 22 10.49,1,11.664,,,304-088557,16172270-2922104,STAR,gri,rpm,-2.8,1.1,-0.8,2.4,,,12.649,0.04,11.922,0.02,12.236,0.03,11.636,0.01,11.419,0.02,10.508,0.033,10.208,0.031,10.159,0.032,6293,316,316,3.844,0.352,0.16,-0.01,0.15,0.21,2.315,0.578,0.913,1.469,0.23,0.269,0.108,0.303,0.053,567.6,158.2,220.5,0.429,0.104,0.146,AAA-222-111-000-0-0,,
202523595,16 18 11.701,-29 22 00.57,1,12.191,,6805-1493-1,304-088737,16181171-2922003,STAR,gri,rpm,-7.6,3.2,-1,3.1,,,12.567,0.246,12.224,0.225,12.621,0.03,12.186,0.04,12.007,0.01,11.076,0.024,10.861,0.024,10.77,0.023,6736,493,308,4.086,0.156,0.286,0.031,0.1,0.12,1.777,0.763,0.356,1.515,0.238,0.198,0.252,0.166,0.16,584.2,235.3,125.5,0.356,0.167,0.139,AAA-222-111-000-0-0,,
202524330,16 15 52.579,-29 21 50.44,1,12.501,,,304-088267,16155258-2921504,STAR,gri,rpm,-18.5,2.1,-28.7,1.1,,,13.64,0.04,12.78,0.02,13.157,0.03,12.425,0.01,12.22,0.03,11.1,0.026,10.683,0.026,10.576,0.024,5439,387,161,4.514,0.048,0.448,-0.065,0.15,0.18,0.867,0.642,0.066,0.924,0.082,0.068,1.35,0.273,1.073,231,190.3,17.79,0.211,0.162,0.081,AAA-222-111-000-0-0,,
202526459,16 08 50.385,-29 21 19.81,1,11.159,,6792-2257-1,304-086649,16085038-2921197,STAR,gri,rpm,1.7,3.3,-9.2,3.2,,,11.767,0.124,11.063,0.099,11.413,0.03,11.105,0.04,11.051,0.06,10.334,0.024,10.143,0.022,10.066,0.021,7001,400,285,4.016,0.234,0.234,0.014,0.12,0.1,2.003,0.765,0.553,1.594,0.252,0.21,0.179,0.237,0.102,495.1,168.2,125.5,0.24,0.134,0.096,AAA-222-111-000-0-0,,
202526854,16 14 45.941,-29 21 14.36,1,12.388,,,304-088004,16144594-2921142,STAR,gri,rpm,-13.2,1,-11.9,1,,,13.257,0.03,12.659,0.05,12.88,0.02,12.396,0.02,12.176,0.03,11.27,0.023,10.973,0.021,10.94,0.021,6175,231,154,4.196,0.14,0.14,-0.089,0.15,0.21,1.339,0.293,0.241,1.165,0.124,0.149,0.422,0.263,0.186,452.5,113.5,76.99,0.221,0.088,0.073,AAA-222-111-000-0-0,,
202527051,16 21 37.562,-29 21 11.55,1,9.929,,6806-272-1,304-089404,16213755-2921115,STAR,gri,rpm,0.1,2.3,-9.6,1.7,,,10.257,0.032,9.911,0.033,10.087,0.11,9.877,0.04,9.757,0.02,9.054,0.026,8.961,0.022,8.877,0.024,7660,1163,447,3.802,0.205,0.287,0.06,0.1,0.08,2.829,1.232,0.858,2.182,0.38,0.444,0.083,0.101,0.056,425.7,159.2,115.9,0.416,0.239,0.199,AAA-122-111-000-0-0,,
