EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
210473763,04 28 28.533,+14 57 37.85,0,12.681,,,525-008445,04282851+1457378,,STAR,gri,,13.3,2.8,-29,3.8,,,14.375,0.02,13.118,0.02,,,13.773,0.01,12.72,0.05,12.213,0.05,,,10.638,0.022,10.071,0.022,9.905,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,
210474951,04 28 31.635,+14 58 56.95,0,14.913,,,525-008448,04283161+1458572,,STAR,gri,,17.3,4.9,-29.5,5,,,16.709,0.02,15.334,0.08,,,16.081,0.02,14.894,0.03,14.412,0.08,,,12.926,0.023,12.351,0.023,12.213,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,
210477576,04 28 01.227,+15 01 39.77,0,14.567,,,526-008558,04280124+1501401,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,,12.405,0.026,11.822,0.027,11.574,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,
210477624,04 28 01.454,+15 01 43.48,0,16.58,,,526-008559,04280145+1501434,,STAR,JHK,,1.9,18.9,-3.6,18.9,,,,,,,,,,,,,,,,,15.036,0.062,14.584,0.066,14.41,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,
210481034,04 28 22.138,+15 05 14.43,0,9.114,,1265-776-1,526-008572,04282213+1505146,,STAR,gri,,35,1.3,-44.2,1.2,,,9.613,0.025,8.976,0.019,,,9.733,0.03,9.397,0.04,8.849,0.06,,,7.896,0.026,7.638,0.031,7.536,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,
210481370,04 28 36.330,+15 05 34.91,0,15.846,,,526-008583,04283631+1505348,,STAR,JHK,,12.6,8,16.9,8,,,,,,,,,,,,,,,,,13.422,0.026,12.64,0.024,12.394,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,
210482655,04 28 42.280,+15 06 53.64,0,13.487,,,526-008589,04284226+1506538,,STAR,gri,,-59.7,5,11.3,5.3,,,15.236,0.03,14.067,0.036,,,14.742,0.038,13.402,0.043,12.949,0.063,,,11.44,0.021,10.814,0.02,10.644,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,
210483745,04 28 01.045,+15 08 05.27,0,15.336,,,526-008557,04280103+1508052,,STAR,JHK,,8.8,8.1,-6.6,8.1,,,,,,,,,,,,,,,,,12.746,0.024,11.93,0.028,11.658,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,
210484798,04 27 51.393,+15 09 09.14,0,9.639,,1265-452-1,526-008549,04275141+1509091,,STAR,gri,,-77.2,1.2,-10,1.1,,,10.753,0.054,9.902,0.035,,,10.349,0.03,9.789,0.04,9.334,0.06,,,8.156,0.026,7.692,0.027,7.611,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,
