EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
205889250,22 31 02.842,-18 42 34.34,1,16.629,,,357-199796,22310280-1842346,,STAR,JHK,rpm,16.7,5.1,-13.9,5.8,,,,,,,,,,,,,,,,,14.223,0.028,13.517,0.022,13.313,0.031,4092,157,157,4.798,0.045,0.054,-0.039,0.15,0.18,0.487,0.054,0.049,0.549,0.065,0.055,4.646,1.136,1.073,392.4,72.03,51.41,0.043,0.022,0.01,AAA-222-111-000-0-0,,
205890696,22 30 47.865,-18 38 24.41,1,15.803,,,357-199790,22304784-1838245,,STAR,JHK,rpm,46.6,2.6,10,4.7,,,,,,,,,,,,,,,,,13.732,0.026,13.08,0.023,12.928,0.032,4055,271,193,4.822,0.075,0.075,-0.217,0.25,0.25,0.454,0.078,0.079,0.503,0.076,0.091,5.152,2.539,1.463,287.9,74.55,69.51,0.041,0.016,0.01,AAA-222-111-000-0-0,,
205891576,22 30 44.556,-18 35 45.98,1,12.652,,,358-208268,22304454-1835459,,STAR,gri,rpm,-13.3,2.4,-17.2,2,,,13.423,0.042,12.731,0.031,,,13.05,0.031,12.585,0.041,12.482,0.061,,,11.599,0.026,11.303,0.023,11.254,0.025,5954,142,95,4.28,0.125,0.225,-0.128,0.2,0.24,1.206,0.355,0.203,1.062,0.077,0.093,0.547,0.34,0.295,470.8,129.6,86.36,0.041,0.017,0.007,AAA-222-111-000-0-0,,
205891848,22 31 42.384,-18 34 51.99,1,16.069,,,358-208305,22314238-1834525,,EXTENDED,J,,0.4,7.3,12.7,7.7,,,,,,,,,,,,,,,,,14.675,0.083,14.033,0.088,13.447,0.065,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,28.4,
205891876,22 31 32.660,-18 34 48.22,1,15.462,,,358-208300,22313266-1834482,,STAR,JHK,rpm,10.3,4.2,-35.3,4.4,,,,,,,,,,,,,,,,,13.129,0.022,12.473,0.024,12.245,0.024,3869,139,116,4.867,0.063,0.035,0.006,0.16,0.2,0.417,0.032,0.062,0.468,0.035,0.077,6.307,2.24,0.814,189.2,18.26,34.71,0.036,0.016,0.009,AAA-222-111-000-0-0,,
205891958,22 31 44.017,-18 34 36.10,1,17.171,,,,22314401-1834360,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.697,0.097,14.971,0.111,14.54,0.105,3811,458,327,4.932,0.13,0.156,-0.17,0.25,0.3,0.329,0.159,0.124,0.354,0.2,0.166,8.308,9.05,4.331,466.1,325.4,191.6,0.042,0.018,0.009,ABA-222-111-000-0-0,,
205892108,22 31 35.971,-18 34 08.53,1,10.232,,6388-283-1,358-208301,22313598-1834084,,STAR,gri,rav,-1.1,2.5,-19.5,2.7,,,11.581,0.158,10.385,0.071,,,11.043,0.03,10.223,0.04,9.884,0.06,,,8.712,0.034,8.22,0.067,8.062,0.029,4766,115,201,2.263,0.125,0.175,-0.415,0.12,0.15,12.419,2.199,1.578,1.021,0.109,0.068,5.37E-04,2.95E-04,2.19E-04,919.1,147.9,107.5,0.042,0.016,0.008,AAA-111-111-000-0-0,,
205892281,22 31 30.322,-18 33 35.26,1,10.717,,6388-1031-1,358-208299,22313031-1833353,,STAR,gri,rav,46.1,2.4,-24.4,2.6,,,11.465,0.109,11.151,0.125,,,11.062,0.03,10.669,0.04,10.569,0.06,,,9.807,0.024,9.553,0.027,9.474,0.023,6584,159,159,4.238,0.055,0.077,0.05,0.1,0.1,1.44,0.151,0.115,1.34,0.071,0.071,0.427,0.098,0.108,272.8,35.27,26.29,0.038,0.014,0.008,AAA-222-111-000-0-0,,
205892667,22 31 42.932,-18 32 22.80,1,17.931,,,,22314293-1832228,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.402,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUU-200-100-000-0-0,30.9,
205892677,22 31 17.335,-18 32 21.06,1,14.838,,,358-208294,22311734-1832210,,STAR,JHK,rpm,5.7,1.9,-49.3,2,,,,,,,,,,,,,,,,,12.491,0.024,11.821,0.024,11.602,0.024,3985,190,158,4.842,0.045,0.072,-0.046,0.16,0.24,0.438,0.073,0.046,0.497,0.081,0.058,5.524,1.658,1.457,159.3,38.87,26.5,0.033,0.014,0.008,AAA-222-111-000-0-0,,
205893085,22 31 53.341,-18 31 07.33,1,12.845,,,358-208311,22315334-1831074,,STAR,gri,rpm,-36.4,2.5,-11.2,2,,,13.897,0.044,13.026,0.032,,,13.468,0.032,12.797,0.041,12.577,0.062,,,11.606,0.022,11.255,0.022,11.157,0.023,5491,89,133,4.49,0.045,0.045,0.014,0.16,0.2,0.913,0.074,0.082,0.947,0.05,0.08,1.248,0.287,0.198,328.5,32.36,43.18,0.045,0.028,0.01,AAA-222-111-000-0-0,,
205893214,22 31 08.897,-18 30 45.40,1,9.714,,6388-458-1,358-208288,22310888-1830452,,STAR,gri,rpm,11.4,2.3,-5.1,2.4,,,11.172,0.096,10.063,0.048,,,10.574,0.03,9.8,0.04,9.345,0.06,,,8.195,0.021,7.664,0.065,7.533,0.027,4799,95,95,2.366,0.26,0.572,-0.482,0.24,0.6,10.995,8.522,2.037,1.001,0.267,0.148,7.07E-04,9.13E-04,5.93E-04,655.5,467,119.7,0.043,0.013,0.008,AAA-111-111-000-0-0,,
