EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
210302627,03 53 18.201,+10 45 22.33,1,12.492,,,504-006055,03531819+1045224,,STAR,gri,rpm,1.5,1.1,-2.4,2.2,,,13.254,0.02,12.651,0.03,,,12.902,0.02,12.476,0.03,12.317,0.05,,,11.384,0.019,11.177,0.033,11.091,0.025,6725,476,297,4.103,0.156,0.234,-0.041,0.1,0.12,1.761,0.657,0.372,1.452,0.214,0.178,0.261,0.199,0.149,653.1,246.8,118.6,0.287,0.157,0.112
210303168,03 53 24.868,+10 46 35.23,1,12.627,,,504-006058,03532486+1046353,,STAR,gri,rpm,-7.9,3.5,-3.4,1.3,,,13.448,0.02,12.777,0.02,,,13.065,0.02,12.611,0.04,12.439,0.03,,,11.489,0.019,11.209,0.029,11.128,0.023,6301,269,154,4.121,0.17,0.238,-0.103,0.12,0.21,1.567,0.555,0.305,1.255,0.205,0.153,0.27,0.227,0.14,601.2,194.6,128.5,0.222,0.122,0.076
210303479,03 53 32.993,+10 47 16.25,1,10.465,,661-559-1,504-006065,03533298+1047163,,STAR,gri,rpm,34.6,1.7,-1.9,1.6,,,11.181,0.069,10.544,0.053,,,10.823,0.03,10.452,0.06,10.312,0.03,,,9.472,0.019,9.201,0.028,9.146,0.022,6309,189,189,4.223,0.12,0.192,-0.084,0.15,0.27,1.363,0.351,0.237,1.198,0.148,0.148,0.43,0.26,0.208,214,46.86,38.44,0.158,0.08,0.057
210304352,03 53 44.778,+10 49 07.16,1,12.206,,,505-006103,03534476+1049071,,STAR,gri,rpm,1.7,1.2,-5.9,2.6,,,13.363,0.02,12.458,0.03,,,12.879,0.02,12.185,0.03,11.917,0.04,,,10.694,0.023,10.341,0.031,10.207,0.022,6070,244,342,3.937,0.369,0.164,-0.038,0.12,0.15,1.869,0.764,0.685,1.234,0.328,0.149,0.152,0.458,0.082,468.2,155.9,178.2,0.454,0.079,0.126
210305942,03 53 51.053,+10 52 45.96,1,13.174,,,505-006108,03535104+1052459,,STAR,gri,rpm,54.7,1.6,-15.4,1.9,,,14.46,0.02,13.48,0.04,,,13.959,0.03,13.172,0.04,12.838,0.04,,,11.56,0.023,11.019,0.03,10.91,0.02,5042,240,90,4.616,0.025,0.06,-0.459,0.27,0.15,0.693,0.099,0.032,0.728,0.111,0.021,2.173,0.21,0.525,202.9,64.57,21.23,0.178,0.161,0.074
210306475,03 54 22.408,+10 54 01.09,1,11.388,,661-556-1,505-006127,03542241+1054012,,STAR,gri,rpm,1.5,2.2,-14.9,2.4,,,13.39,0.487,11.563,0.167,,,12.384,0.02,11.338,0.05,10.962,0.05,,,9.44,0.019,8.858,0.029,8.719,0.022,4797,149,119,2.601,0.564,0.282,-0.266,0.25,0.35,8.493,2.765,3.659,1.139,0.23,0.191,0.001,0.009,7.73E-04,897.8,237.7,398.7,0.343,0.125,0.125
210307221,03 52 59.499,+10 55 36.80,1,19.87,,,,,6003-301-3-0084-0220,STAR,gri,,-1,3,2,3,,,,,,,20.662,0.06,19.997,0.016,19.828,0.018,19.696,0.02,19.338,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210307350,03 55 12.423,+10 55 52.22,1,12.411,,,505-006157,03551242+1055523,,STAR,gri,rpm,7,1.5,-8.7,1.6,,,13.705,0.02,12.71,0.02,,,13.197,0.04,12.367,0.06,12.073,0.02,,,10.755,0.022,10.272,0.027,10.154,0.021,5191,309,220,3.412,0.34,0.952,-0.478,0.35,0.49,3.301,5.527,1.11,1.02,0.313,0.156,0.028,0.059,0.027,716.4,1063,211.5,0.296,0.161,0.138
210307378,03 52 55.937,+10 55 56.83,1,10.983,,,505-006064,03525593+1055568,,STAR,gri,rpm,0.8,1.2,1.2,1.9,,,13.51,0.07,11.713,0.04,,,12.647,0.03,11.079,0.02,10.27,0.04,,,8.272,0.03,7.378,0.059,7.115,0.021,3749,60,45,0.839,0.328,0.246,-0.186,0.28,0.2,63.281,24.474,17.649,1.142,0.171,0.053,3.97E-06,6.33E-06,2.44E-06,2667,881.2,662.3,0.193,0.078,0.028
210307958,03 54 19.338,+10 57 07.85,1,12.463,,,505-006124,03541933+1057078,,STAR,gri,rpm,1.1,1.4,0.4,1.6,,,14.093,0.03,12.84,0.03,,,13.45,0.02,12.439,0.05,12.04,0.06,,,10.537,0.019,9.916,0.025,9.782,0.02,4750,138,138,2.429,0.27,0.18,-0.359,0.24,0.28,10.658,2.304,2.554,1.153,0.207,0.172,8.18E-04,9.88E-04,3.66E-04,1757,345.7,390.6,0.298,0.139,0.116
