EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
211682423,08 48 22.249,+15 40 44.08,1,12.617,,,529-047400,08482224+1540440,,STAR,gri,lam,-6.4,0.7,-11.8,2.6,,,13.139,0.07,12.667,0.03,,,12.813,0.04,12.552,0.03,12.457,0.13,,,11.643,0.022,11.415,0.02,11.331,0.02,6138,98,74,4.287,0.08,0.16,-0.572,0.15,0.18,1.112,0.24,0.103,0.908,0.074,0.046,0.621,0.207,0.272,455.6,100.3,53.27,0.032,0.01,0.006
211682436,08 49 37.993,+15 40 44.76,1,14.332,,,529-047454,08493799+1540448,,STAR,gri,rpm,-33.7,3.6,-41.4,3.9,,,16.327,0.07,14.957,0.04,,,15.67,0.05,14.411,0.03,13.758,0.06,,,12.179,0.021,11.594,0.02,11.38,0.02,3811,91,61,4.932,0.045,0.054,-0.114,0.12,0.27,0.348,0.051,0.034,0.378,0.073,0.03,8.835,1.787,2.255,98.82,19.93,12.15,0.017,0.006,0.006
211682478,08 16 17.309,+15 40 46.72,1,12.012,,1378-1721-1,529-045682,08161731+1540467,,STAR,gri,plx,-11.6,2.5,-9.3,2.7,,,12.679,0.268,12.634,0.274,,,12.434,0.01,12.008,0.03,11.831,0.01,,,10.947,0.027,10.673,0.031,10.616,0.022,5969,118,118,3.977,0.11,0.154,-0.207,0.25,0.45,1.752,0.417,0.259,1.118,0.17,0.204,0.203,0.097,0.095,580.3,137.5,137.5,0.035,0.014,0.01
211682491,08 44 29.760,+15 40 47.46,1,17.956,,,,08442976+1540474,5794-301-4-0107-0203,STAR,gri,col,,,,,,,,,,,22.344,0.302,19.439,0.012,17.984,0.007,17.321,0.006,16.954,0.012,15.739,0.07,15.211,0.097,14.88,0.093,3745,44,44,5.053,0.048,0.04,-0.415,0.1,0.12,0.235,0.042,0.035,0.236,0.054,0.045,17.07,5.123,3.94,347.5,71.24,69.68,0.031,0.01,0.007
211682494,08 15 27.884,+15 40 47.70,1,11.806,,,529-045637,08152788+1540478,,STAR,gri,rpm,-1.3,1,-22.4,1.3,,,12.7,0.06,11.977,0.03,,,12.316,0.03,11.778,0.04,11.587,0.03,,,10.709,0.022,10.341,0.02,10.273,0.018,5545,164,131,4.024,0.495,0.385,-0.202,0.2,0.28,1.513,1.066,0.701,0.989,0.283,0.094,0.244,1.039,0.187,379.7,244.1,179.1,0.028,0.005,0.005
211682544,08 38 43.771,+15 40 50.25,1,11.407,,,529-046987,08384378+1540503,,STAR,gri,rpm,-55.8,1.2,-0.1,1,,,12.348,0.03,11.606,0.04,,,11.901,0.03,11.385,0.03,11.195,0.04,,,10.216,0.02,9.814,0.022,9.748,0.02,5519,132,132,4.501,0.05,0.67,-0.224,0.16,0.52,0.885,1.086,0.091,0.888,0.075,0.075,1.292,0.342,1.164,171.9,209,20.1,0.022,0.008,0.006
211682586,08 41 31.666,+15 40 52.40,1,17.899,,,,,5137-301-5-0117-0284,EXTENDED,gri,,5,3,-8,3,,,,,,,19.334,0.082,18.311,0.01,17.985,0.012,17.722,0.014,17.623,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211682592,08 19 21.007,+15 40 52.62,1,14.919,,,529-045890,08192102+1540527,,STAR,JHK,rpm,19.8,5.6,-47.8,5.4,,,,,,,,,,,,,,,,,12.589,0.021,11.977,0.021,11.706,0.019,3595,72,86,5.003,0.05,0.05,0.023,0.12,0.12,0.267,0.047,0.04,0.28,0.072,0.06,13.5,4.504,3.378,88.24,20.07,16.35,0.013,0.007,0.004
211682624,08 50 11.633,+15 40 53.91,1,17.096,,,,,5125-301-3-0030-0018,STAR,gri,,,,,,,,,,,,18.225,0.015,17.09,0.004,17.098,0.005,17.153,0.006,17.24,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211682625,08 29 39.056,+15 40 53.95,1,12.926,,,529-046470,08293905+1540539,,STAR,gri,rpm,-30.6,2.2,9.4,2.6,,,13.567,0.04,13.057,0.01,,,13.229,0.03,12.922,0.01,12.796,0.02,,,11.986,0.021,11.667,0.025,11.644,0.021,6148,97,73,4.246,0.125,0.3,-0.883,0.25,0.25,1.138,0.468,0.195,0.857,0.026,0.042,0.523,0.373,0.328,559,208.4,100.4,0.035,0.004,0.007
