,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
1,212292688,13 33 39.628,-17 45 14.21,1,13.174,,,362-064509,13333961-1745142,,STAR,gri,rpm,-0.2,2,9.2,1.3,,,13.934,0.04,13.326,0.06,,,13.558,0.03,13.146,0.02,13.01,0.07,,,12.096,0.025,11.782,0.024,11.719,0.026,6017,166,95,4.238,0.13,0.234,-0.259,0.25,0.3,1.265,0.409,0.24,1.008,0.168,0.112,0.496,0.272,0.289,625.5,196,115.7,0.046,0.034,0.013,AAA-222-111-000-0-0,,
2,212292691,13 48 51.892,-17 45 13.96,1,11.774,,,362-065061,13485190-1745137,,STAR,gri,rpm,-12.5,2.5,13.1,1.5,,,12.698,0.01,11.981,0.01,,,12.294,0.03,11.783,0.01,11.551,0.05,,,10.664,0.023,10.323,0.023,10.236,0.022,5801,93,186,4.072,0.405,0.225,-0.185,0.2,0.24,1.497,0.526,0.591,1.048,0.075,0.119,0.283,0.707,0.172,360.4,129.4,132.9,0.063,0.026,0.031,AAA-222-111-000-0-0,,
3,212292706,13 25 04.750,-17 45 12.62,1,18.064,,,,13250474-1745126,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.523,0.137,16.293,0.18,15.416,0.209,3941,1900,542,4.898,0.175,0.49,-0.341,0.35,0.63,0.335,0.504,0.146,0.38,0.413,0.207,7.417,12.32,6.369,770.4,2205,406.7,0.053,0.031,0.022,BCC-222-111-000-0-0,,
4,212292742,13 43 53.060,-17 45 09.16,1,14.028,,,362-064869,13435306-1745091,,STAR,BV,rpm,14.2,2.2,-33,2.4,,,14.555,0.048,14.086,0.036,,,,,,,,,,,12.889,0.033,12.549,0.044,12.462,0.034,5783,342,342,4.468,0.085,0.17,-0.501,0.3,0.48,0.871,0.203,0.107,0.838,0.063,0.063,1.166,0.443,0.513,605.3,190.8,107.6,0.053,0.029,0.024,AAA-222-111-000-0-0,,
5,212292753,13 51 58.363,-17 45 07.71,1,11.415,,6127-683-1,362-065185,13515837-1745077,,STAR,gri,rpm,4.4,3,-18.6,3.3,,,11.974,0.142,11.941,0.21,,,11.927,0.03,11.403,0.02,11.196,0.02,,,10.212,0.026,9.853,0.026,9.757,0.028,5533,198,165,3.508,0.71,1.136,-0.77,0.7,0.5,2.611,6.687,1.557,0.897,0.23,0.028,0.045,0.531,0.044,468.9,1112,272,0.054,0.025,0.021,AAA-222-111-000-0-0,,
6,212292769,13 43 52.753,-17 45 05.88,1,14.559,,,362-064868,13435276-1745059,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,13.329,0.028,12.97,0.031,12.897,0.034,5738,224,269,4.431,0.09,0.36,-0.291,0.3,0.54,0.955,0.545,0.142,0.9,0.109,0.091,1.02,0.438,0.738,788.4,449.1,146.1,0.06,0.025,0.025,AAA-222-111-000-0-0,,
7,212292805,13 45 39.155,-17 45 03.42,1,10.945,,6127-868-1,362-064939,13453915-1745035,,STAR,gri,rav,-1.7,2.3,1.2,2.4,,,11.461,0.101,10.932,0.099,,,11.28,0.09,10.907,0.04,10.802,0.05,,,10.015,0.024,9.733,0.022,9.668,0.019,6186,149,186,3.794,0.102,0.085,-0.125,0.12,0.18,2.429,0.425,0.427,1.401,0.233,0.194,0.088,0.053,0.025,475.5,94.87,79.09,0.058,0.028,0.028,AAA-222-111-000-0-0,,
8,212292821,13 44 37.998,-17 45 02.31,1,14.553,,,362-064898,13443799-1745021,,STAR,gri,rpm,-24.7,2.8,-10.1,3.7,,,15.963,0.03,14.888,0.02,,,15.384,0.03,14.468,0.03,14.198,0.01,,,12.904,0.026,12.425,0.027,12.261,0.026,4847,97,78,4.609,0.024,0.028,-0.005,0.09,0.21,0.725,0.032,0.043,0.795,0.026,0.052,2.012,0.22,0.198,400.5,35.02,23.28,0.058,0.023,0.023,AAA-222-111-000-0-0,,
9,212292856,13 39 46.718,-17 44 58.39,1,14.517,,,362-064722,13394671-1744584,,STAR,gri,rpm,-4.8,2.7,0,3,,,15.931,0.06,14.923,0.08,,,15.381,0.05,14.544,0.05,14.147,0.08,,,12.862,0.022,12.268,0.028,12.196,0.024,4760,95,95,2.384,0.444,0.888,-0.714,0.35,0.77,9.177,14.014,3.642,0.912,0.057,0.091,0.001,0.004,0.001,4870,8154,1638,0.067,0.023,0.032,AAA-222-111-000-0-0,,
