EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
213037454,19 05 33.567,-31 04 52.36,1,14.932,,,295-221906,19053356-3104523,STAR,JHK,rpm,-46,2,19,3.2,,,,,,,,,,,,,12.665,0.024,12.018,0.025,11.802,0.023,3858,152,152,4.882,0.072,0.04,-0.057,0.18,0.15,0.401,0.035,0.067,0.45,0.046,0.084,6.712,2.769,1.065,144.7,21.82,29.12,0.052,0.015,0.018,AAA-222-111-000-0-0,,
213037617,19 05 13.271,-31 04 48.86,1,15.669,,,,19051326-3104488,STAR,JHK,col,,,,,,,,,,,,,,,,,13.659,0.024,13.063,0.029,12.873,0.026,4703,186,336,2.482,2.146,0.185,-0.304,0.4,0.48,8.844,2.419,8.225,0.955,0.158,0.222,0.001,2.538,6.84E-04,6341,1248,5863,0.324,0.109,0.218,AAA-222-111-000-0-0,,
213044320,19 04 33.274,-31 02 37.94,1,14.656,,,295-221567,19043326-3102380,STAR,JHK,rpm,-21.7,1.5,-96.7,1.5,,,,,,,,,,,,,12.379,0.023,11.699,0.022,11.513,0.024,4038,200,200,4.847,0.105,0.075,-0.21,0.2,0.32,0.42,0.083,0.089,0.48,0.079,0.111,5.69,3.667,1.52,146.4,68.56,40.1,0.051,0.025,0.018,AAA-222-111-000-0-0,,
213045572,19 06 50.691,-31 02 14.35,1,11.881,,7410-2961-1,295-222364,19065073-3102144,STAR,gri,rpm,-0.5,3.1,-33,3.3,,,12.664,0.274,12.057,0.21,12.407,0.03,11.902,0.04,11.656,0.06,10.671,0.024,10.291,0.026,10.194,0.021,5682,135,169,4.194,0.3,1.62,-0.282,0.25,1.15,1.279,6.299,0.459,0.919,0.091,0.11,0.476,0.896,0.474,319.1,1197,129.3,0.083,0.011,0.022,AAA-222-111-000-0-0,,
213051455,19 06 13.791,-31 00 21.88,1,11.954,,,295-222107,19061378-3100218,STAR,JHK,rpm,32,2.3,-42.1,2.9,,,,,,,,,,,,,10.589,0.027,10.124,0.024,10.057,0.023,5166,158,158,4.558,0.035,0.98,-0.201,0.25,0.4,0.799,1.741,0.057,0.855,0.089,0.063,1.595,0.279,1.542,179.6,341.3,26.03,0.066,0.119,0.022,AAA-222-111-000-0-0,,
213062557,19 04 45.161,-30 56 55.13,1,8.859,,7410-2809-1,296-218049,19044515-3056552,STAR,BV,rpm,-1.5,1.3,-8,1.3,,,8.822,0.017,8.763,0.015,,,,,,,8.629,0.027,8.607,0.051,8.6,0.021,9368,1712,1223,3.868,0.27,0.27,0.022,0.12,0.12,2.917,1.222,1,2.642,0.516,0.619,0.084,0.177,0.051,445.5,188.1,153.6,0.108,0.09,0.034,AAA-112-111-000-0-0,,
213063050,19 04 44.084,-30 56 45.62,1,11.744,,,296-218040,19044408-3056456,STAR,JHK,rpm,-10.1,4.4,-2.9,3.7,,,,,,,,,,,,,10.767,0.029,10.536,0.022,10.514,0.019,6456,261,261,4.097,0.204,0.272,0.02,0.12,0.12,1.661,0.853,0.401,1.397,0.238,0.17,0.278,0.24,0.187,476.5,230.2,122,0.106,0.062,0.028,AAA-222-111-000-0-0,,
213065187,19 07 05.457,-30 56 05.53,1,16.282,,,,19070545-3056055,STAR,JHK,col,,,,,,,,,,,,,,,,,14.235,0.033,13.676,0.036,13.438,0.037,4711,276,1106,3.226,1.72,0.86,-0.25,0.35,0.56,3.361,4.909,3.136,0.864,0.149,0.622,0.012,11.66,0.011,3573,4745,3402,0.184,0.216,0.135,AAA-222-111-000-0-0,,
213070094,19 06 52.551,-30 54 36.25,1,13.772,,,296-218817,19065255-3054362,STAR,gri,rpm,2.7,1.6,-53.3,1.6,,,15.345,0.07,14.147,0.037,14.806,0.038,13.699,0.044,13.33,0.02,12.038,0.024,11.408,0.025,11.328,0.023,4417,108,54,4.72,0.035,0.07,-0.214,0.3,0.25,0.565,0.096,0.043,0.626,0.102,0.061,3.354,0.541,0.941,182,53.53,16.77,0.061,0.02,0.017,AAA-222-111-000-0-0,,
213070332,19 05 16.179,-30 54 32.41,1,13.125,,,296-218259,19051618-3054324,STAR,gri,rpm,-2.3,1.8,1.6,1.9,,,14.976,0.15,13.505,0.03,14.181,0.035,13.068,0.042,12.672,0.062,11.362,0.024,10.77,0.023,10.656,0.021,4633,131,94,2.464,0.286,0.132,0.03,0.2,0.24,11.258,0.973,2.183,1.333,0.543,0.247,9.15E-04,0.001,2.76E-04,2674,217.7,387.5,0.249,0.105,0.126,AAA-222-111-000-0-0,,
213072346,19 06 15.117,-30 53 56.35,1,11.888,,7410-2372-1,296-218557,19061513-3053563,STAR,gri,rpm,-9.4,2.7,-13.7,2.6,,,11.659,0.095,11.082,0.095,13.929,0.9,10.958,0.27,11.014,0.06,10.285,0.022,10.114,0.024,10.057,0.021,6767,219,274,4.178,0.085,0.221,0.059,0.12,0.1,1.605,0.537,0.197,1.469,0.128,0.128,0.34,0.118,0.193,393.8,115.9,58.62,0.095,0.044,0.022,AAA-222-111-000-0-0,,
213076986,19 08 09.199,-30 52 32.16,1,11.874,,,296-219216,19080920-3052320,STAR,gri,rpm,0.4,1.3,-9.7,2.8,,,12.534,0.02,11.936,0.01,12.201,0.03,11.786,0.04,11.734,0.06,10.781,0.024,10.542,0.024,10.497,0.025,6373,191,153,4.042,0.24,0.288,0.02,0.12,0.12,1.667,0.951,0.459,1.385,0.28,0.175,0.218,0.305,0.142,497.5,243.1,140.4,0.112,0.07,0.032,AAA-222-111-000-0-0,,
213080994,19 05 46.340,-30 51 21.96,1,16.546,,,,19054633-3051219,STAR,JHK,col,,,,,,,,,,,,,,,,,14.344,0.03,13.76,0.032,13.501,0.043,4015,832,555,4.837,0.204,2.346,-0.131,0.25,0.5,0.448,7.598,0.207,0.458,0.533,0.267,4.681,11.78,4.68,337.7,7455,183.6,0.104,0.285,0.062,AAA-222-111-000-0-0,,
213086465,19 06 17.234,-30 49 45.31,1,11.036,,7410-2410-1,296-218576,19061722-3049453,STAR,gri,rpm,-11.2,3.2,39,3.1,,,12.507,0.303,11.425,0.134,11.778,0.03,11.032,0.04,10.717,0.06,9.66,0.024,9.178,0.022,9.084,0.019,5063,101,60,3.216,0.455,0.546,-0.826,0.55,0.25,3.653,2.748,1.394,0.898,0.086,0.029,0.013,0.061,0.01,491.3,334.6,179.4,0.101,0.063,0.042,AAA-222-111-000-0-0,,
213089249,19 04 27.715,-30 48 57.06,1,11.772,,7410-2536-1,296-217919,19042771-3048570,STAR,gri,rpm,2.1,3.1,1.6,3,,,12.348,0.225,11.8,0.194,12.176,0.03,11.836,0.04,11.598,0.02,10.859,0.024,10.645,0.023,10.593,0.023,6427,240,160,3.914,0.31,0.31,0.024,0.12,0.12,2.085,1.382,0.831,1.52,0.357,0.306,0.123,0.368,0.084,626.9,409.6,247.7,0.137,0.086,0.054,AAA-222-111-0dd-0-0,,
213090879,19 05 33.098,-30 48 28.01,1,14.906,,,296-218343,19053310-3048280,STAR,BV,rpm,-1.9,1.5,1.2,3,,,15.59,0.38,15.007,0.23,,,,,,,14.324,0.027,13.922,0.034,13.939,0.052,5666,276,276,4.148,0.305,0.427,-0.07,0.25,0.7,1.401,1.086,0.544,1.007,0.181,0.129,0.34,0.686,0.267,1770,1281,645.6,0.174,0.152,0.069,AAA-222-111-000-0-0,,
213091707,19 05 52.456,-30 48 13.01,1,11.939,,7410-2460-1,296-218440,19055246-3048131,STAR,gri,rpm,-11.2,4.3,-16.5,4.1,,,12.489,0.258,11.821,0.2,12.517,0.031,11.955,0.04,11.691,0.01,10.704,0.024,10.41,0.024,10.288,0.021,5786,177,141,3.987,0.448,0.16,0.035,0.2,0.24,1.736,0.54,0.771,1.109,0.216,0.098,0.201,0.723,0.089,439.6,135.9,196.6,0.114,0.082,0.041,AAA-222-111-000-0-0,,
213102725,19 07 01.736,-30 45 03.51,1,12.243,,7410-2022-1,297-216187,19070172-3045034,STAR,gri,rpm,30.3,4.3,0.6,4.1,,,12.307,0.19,12.354,0.246,12.653,0.031,12.232,0.04,12.068,0.02,11.129,0.023,10.843,0.022,10.786,0.019,6079,175,125,4.218,0.162,0.162,-0.194,0.2,0.4,1.275,0.276,0.227,1.04,0.131,0.131,0.486,0.324,0.218,406.2,75.46,75.12,0.096,0.062,0.024,AAA-222-111-000-0-0,,
213106629,19 08 20.479,-30 43 57.86,1,11.882,,7410-1882-1,297-216577,19082047-3043577,STAR,gri,rpm,-12.5,4.4,-5,4.2,,,12.693,0.344,11.568,0.164,12.211,0.03,11.788,0.04,11.741,0.02,10.734,0.023,10.466,0.023,10.417,0.024,6287,149,149,4.146,0.175,0.28,-0.01,0.15,0.18,1.541,0.813,0.346,1.283,0.243,0.152,0.317,0.273,0.2,424,204.9,92.59,0.103,0.049,0.027,AAA-222-111-000-0-0,,
