EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
220131668,15.947,13.763,3823,0.338,0.324
220132548,15.993,14.908,5796,0.779,0.827
220133060,13.280,11.984,6156,1.032,1.290
220133206,15.212,12.214,4014,0.510,0.448
220135402,13.932,11.904,5109,0.836,0.788
220135666,12.710,11.385,6154,1.090,1.297
220135817,13.873,12.592,6332,0.829,1.060
220136796,13.225,11.739,5927,0.990,1.140
220136961,17.755,,,,
220137077,13.375,11.303,4966,0.906,6.255
220137236,15.354,13.863,5934,0.720,0.724
220137654,18.430,,,,
220137860,15.278,12.808,4294,0.522,0.467
220137983,13.062,11.520,6033,1.044,1.189
220138089,12.639,11.245,5789,1.080,1.582
220138376,17.855,,,,
220138441,16.656,,,,
220138553,17.386,14.133,3481,0.166,0.182
220138665,14.030,11.849,4849,0.790,0.732
220138882,16.659,14.637,,,
220138945,17.146,14.901,,,
220139037,14.394,12.195,4894,0.819,0.780
220139119,15.986,14.605,6079,0.820,0.982
220139251,16.951,14.318,,,
220139324,17.065,14.784,3540,0.239,0.240
220139418,15.341,12.141,3972,0.496,0.437
220139473,12.306,11.174,6498,1.221,1.458
220139565,12.408,11.054,6151,1.138,1.347
220139666,13.898,11.900,5070,0.814,0.764
220139824,16.156,13.997,,,
220140152,18.464,,,,
220140191,15.961,12.539,5080,0.810,11.370
220140289,13.354,11.678,5913,1.031,1.177
220140290,13.154,11.442,5391,0.902,1.568
220140644,10.805,8.355,4540,0.963,15.195
220140664,15.338,13.561,5613,0.835,0.875
220140691,12.573,10.447,5111,0.918,4.120
220140731,13.266,11.187,5182,0.842,0.786
220140752,14.120,11.905,4721,0.637,0.600
220140937,15.955,13.019,4125,0.550,0.485
220141027,19.284,15.596,3212,0.143,0.166
220141131,17.916,,,,
220141157,12.220,10.811,6237,1.199,1.418
220141296,13.093,11.727,6116,1.027,1.255
220141540,14.946,11.502,3685,0.318,0.296
220141649,16.701,13.725,3951,0.380,0.340
220141787,11.880,10.636,6072,1.094,1.385
220141896,13.720,12.409,6085,0.853,1.029
220142011,13.803,12.527,6209,0.865,1.178
220142089,18.259,15.214,3909,0.386,0.353
220142109,10.733,8.210,4759,1.271,10.941
220142506,12.401,10.481,5341,0.914,0.851
220142631,13.623,12.282,5965,0.934,1.085
220142825,13.633,11.977,5523,0.888,0.867
220142862,13.224,11.284,5165,0.885,0.822
220142943,11.187,9.708,5941,0.942,1.048
220142950,14.977,13.960,6283,0.844,1.273
220142976,15.984,13.982,5227,0.749,0.752
220143169,15.779,13.439,4755,0.600,0.555
220143340,17.482,13.000,3487,0.166,0.182
220143498,13.863,10.856,3872,0.468,0.419
