EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
220227632,00 53 19.660,+00 58 34.43,1,18.079,,,,00531966+0058344,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,16.096,0.090,15.699,0.131,15.318,0.160,,,,,,,,,3853,1486,445,4.924,0.168,0.336,-0.294,0.300,0.600,0.331,0.378,0.144,0.362,0.343,0.206,8.634,10.470,6.871,550.800,1157.000,257.000,0.033,0.026,0.012,ABC-222-111-000-0-0,,0909-0009880
220227655,01 18 11.456,+00 58 38.18,1,18.156,,,,01181145+0058381,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.606,0.123,15.966,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCU-220-110-000-0-0,37.400,0909-0014366
220227656,01 27 29.961,+00 58 38.21,1,17.797,,,,01272996+0058382,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.828,0.066,15.484,0.098,15.054,0.125,,,,,,,,,3789,1857,371,4.922,0.174,0.435,-0.326,0.360,0.660,0.325,0.471,0.146,0.333,0.418,0.174,8.559,14.270,7.356,528.800,1454.000,289.500,0.032,0.024,0.011,AAB-222-111-000-0-0,,0909-0015869
220227661,01 02 42.576,+00 58 38.72,1,13.322,,,455-001431,01024258+0058386,,STAR,gri,rpm,23.300,2.000,1.600,2.400,,,14.276,0.030,13.516,0.020,,,13.871,0.020,13.281,0.010,13.086,0.030,,,12.140,0.023,11.782,0.021,11.703,0.023,,,,,,,,,5544,133,111,4.494,0.060,0.100,-0.191,0.200,0.200,0.876,0.116,0.086,0.911,0.067,0.093,1.280,0.313,0.378,411.400,66.190,48.100,0.046,0.034,0.019,AAA-222-111-000-0-0,,
220227716,00 46 15.892,+00 58 43.88,1,13.096,,,455-001065,00461588+0058439,,STAR,gri,rpm,-30.000,9.000,-70.900,9.000,,,13.949,0.050,13.268,0.040,,,13.579,0.040,13.063,0.040,12.889,0.020,,,12.284,0.036,12.046,0.044,12.001,0.038,,,,,,,,,5746,91,114,4.490,0.080,0.096,-0.701,0.420,0.360,0.814,0.167,0.095,0.780,0.096,0.053,1.382,0.517,0.477,412.900,94.600,59.190,0.032,0.030,0.008,AAA-222-111-000-0-0,,0909-0008608
220227730,01 04 08.448,+00 58 44.60,1,17.937,,,,01040844+0058446,,STAR,J,,-10.000,2.000,0.000,6.000,,,,,,,,,,,,,,,,,16.408,0.113,15.752,0.130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBU-220-110-000-0-0,42.400,0909-0011704
220227740,01 07 54.441,+00 58 45.77,1,17.747,,,,01075444+0058457,,STAR,JHK,rpm,-8.000,6.000,-20.000,3.000,,,,,,,,,,,,,,,,,15.866,0.064,15.083,0.057,15.119,0.121,,,,,,,,,4076,244,204,4.839,0.096,0.080,-0.281,0.250,0.300,0.437,0.078,0.089,0.481,0.083,0.116,5.427,3.374,1.585,751.100,196.700,182.900,0.037,0.028,0.014,AAB-222-111-000-0-0,,0909-0012470
220227744,00 46 40.863,+00 58 46.15,1,13.599,,,455-001080,00464086+0058461,,STAR,gri,rpm,2.700,2.500,-10.200,2.700,,,14.517,0.030,13.794,0.060,,,14.121,0.040,13.554,0.030,13.375,0.020,,,12.455,0.023,12.080,0.023,12.004,0.026,,,,,,,,,5518,164,131,4.489,0.066,0.715,-0.232,0.250,0.600,0.900,1.246,0.100,0.911,0.095,0.079,1.194,0.402,1.092,481.400,650.300,65.960,0.035,0.029,0.013,AAA-222-111-000-0-0,,
220227757,01 13 30.633,+00 58 47.24,1,12.926,,,455-001667,01133062+0058473,,STAR,gri,rpm,17.200,1.200,-1.100,1.600,,,13.648,0.020,13.060,0.050,,,13.329,0.030,12.879,0.020,12.753,0.040,,,11.919,0.023,11.694,0.032,11.601,0.021,,,,,,,,,6017,150,112,4.265,0.132,0.132,-0.119,0.180,0.210,1.218,0.236,0.197,1.076,0.081,0.113,0.555,0.275,0.213,558.200,109.800,91.770,0.038,0.034,0.017,AAA-222-111-000-0-0,,
