EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
220478603,12.877,10.374,4532,0.717,0.638
220478606,14.778,11.845,3749,0.401,0.369
220478613,15.001,12.172,3995,0.428,0.386
220478637,16.788,13.113,3311,0.161,0.183
220478646,18.874,15.229,3720,0.151,0.163
220478654,14.163,12.065,4743,0.784,0.712
220478657,15.55,12.458,3928,0.472,0.416
220478660,12.552,11.02,5702,0.979,0.972
220478709,12.559,10.688,5010,0.989,3.417
220478713,13.5,11.669,5296,0.883,0.876
220478740,14.129,12.071,4786,0.765,0.702
220478844,12.393,10.664,5485,0.989,0.991
220478888,16.446,13.221,3660,0.256,0.253
220478889,12.445,11.02,5904,1.031,1.206
220478892,16.639,14.739,5170,0.711,0.675
220478922,15.978,13.265,4269,0.611,0.55
220478938,13.773,11.798,5074,0.861,0.828
220478941,9.739,7.236,4469,0.97,20.065
220478950,13.873,12.543,6044,0.961,1.146
220478958,10.731,9.327,5885,1.113,1.475
220478972,13.892,11.281,4138,0.545,0.485
220479022,11.154,8.797,4598,1.046,10.762
220479063,15.922,13.29,4365,0.635,0.574
220479068,16.789,15.174,5311,0.789,0.786
220479070,15.897,12.767,3882,0.454,0.41
220479076,17.47,14.744,3596,0.219,0.228
220479085,18.352,15.11,3406,0.193,0.211
220479120,13.542,12.124,5765,0.829,0.869
220479144,14.006,12.037,5087,0.869,2.191
220479156,13.748,12.134,5512,0.933,0.907
220479198,13.544,11.994,5482,0.914,0.886
220479199,17.13,15.193,,,
220479208,16.375,12.625,3674,0.337,0.312
220479216,18.279,,,,
220479244,16.007,12.988,3847,0.405,0.377
220479312,14.425,12.635,5150,0.839,0.779
220479329,12.827,11.092,5257,0.831,0.786
220479338,13.825,10.095,3544,0.249,0.244
220479417,12.368,11.129,6125,1.15,1.355
220479420,15.849,14.079,5694,0.824,0.867
220479503,12.481,10.788,5469,0.755,0.768
220479504,11.268,9.862,5798,1.099,1.396
220479532,16.1,12.262,3435,0.154,0.171
220479581,17.218,14.752,4406,0.619,0.573
220479600,13.231,11.732,5934,1.045,1.184
220479608,13.141,10.823,4795,1.006,6.213
220479712,16.921,15.06,5371,0.804,3.781
220479732,11.178,9.033,4895,1.155,4.637
220479744,14.589,12.973,5463,0.817,0.796
220479753,14.219,12.097,5005,0.854,0.794
220479839,17,14.846,3635,0.251,0.245
220479845,11.521,10.053,5670,1.011,1.06
220479849,12.216,10.541,5567,0.922,0.889
220479867,14.554,12.935,5602,0.897,0.88
220479869,13.399,11.539,5193,0.891,0.825
220479880,15.314,11.893,3668,0.295,0.279
220479940,13.946,11.592,4685,0.76,0.694
220479942,14.654,12.854,5274,0.824,0.788
220479964,13.605,12.11,5810,1.004,1.033
220479969,15.214,13.71,,,
220480032,13.656,12.639,5997,0.884,1.048
220480040,14.108,11.731,4858,0.774,0.719
220480048,16.489,13.363,3542,0.242,0.251
220480050,12.704,10.496,4940,0.816,0.75
220480080,13.495,12.462,5384,0.768,0.751
220480107,14.69,13.076,5513,0.845,0.84
220480110,17.804,,,,
220480134,19.097,,,,
220480144,16.681,14.831,5119,0.809,9.476
220480234,14.929,13.641,5656,0.798,0.822
220480246,13.931,11.539,4613,0.72,0.644
220480323,17.638,,,,
220480329,17.502,,,,
220480333,13.275,10.391,3873,0.404,0.368
220480404,12.171,10.927,6244,1.195,1.462
220480435,13.922,12.581,6075,0.878,1.128
220480441,15.058,12.362,4173,0.529,0.479
220480451,13.752,12.125,5527,0.922,0.889
220480470,15.084,12.832,4507,0.683,0.618
220480478,15.468,12.88,4603,0.702,0.647
220480494,15.219,12.576,3990,0.494,0.442
220480498,15.192,12.269,3568,0.27,0.272
220480506,13.297,12.22,6176,0.948,1.179
220480564,16.449,12.842,3609,0.287,0.277
220480623,9.09,6.921,5184,0.902,10.097
220480645,16.455,12.561,3509,0.216,0.227
220480669,13.198,11.638,5729,0.924,0.961
220480673,16.488,14.88,5500,0.691,0.658
220480682,10.248,8.708,5432,0.846,0.826
220480720,12.779,10.226,4402,0.671,0.607
220480748,17.502,,,,
220480807,13.191,11.147,4974,0.84,0.786
220480814,10.217,9.349,7640,1.644,1.659
220480825,13.168,11.692,5747,0.825,0.873
220480849,15.039,11.549,3442,0.197,0.211
220480859,15.277,12.196,3750,0.371,0.335
220480885,14.201,12.107,4880,0.807,0.747
220480916,12.241,,,,
220480953,12.587,11.232,6121,1.118,1.353
220480958,19.112,15.446,,,
220480960,13.684,11.965,5368,0.881,0.829
220480985,12.758,11.204,5665,0.926,0.927
220481018,11.852,10.569,6133,1.148,1.463
220481031,17.048,13.63,3367,0.173,0.192
220481052,13.756,12.322,5940,0.996,1.113
220481075,10.889,9.517,6028,0.872,1.052
220481097,14.932,13.215,5459,0.788,0.776
220481108,17.754,,,,
220481131,14.243,12.493,5279,0.885,0.833
220481155,12.873,10.92,4994,0.999,3.109
220481162,11.379,9.904,5942,1.063,1.236
220481167,13.521,12.119,5853,0.935,0.988
220481212,11.586,10.266,6044,1.083,1.358
220481225,12.978,11.077,5801,0.968,1.018
220481314,14.414,11.825,4287,0.627,0.562
220481317,15.357,13.553,,,
220481319,18.49,15.117,3276,0.14,0.158
220481328,14.207,12.156,4946,0.853,0.777
220481350,13.712,11.095,4161,0.548,0.485
220481368,15.048,10.799,3674,0.323,0.305
220481377,16.414,13.797,,,
220481411,12.1,9.721,4653,1.163,6.924
220481438,13.886,11.723,5019,0.915,4.161
220481457,11.631,10.114,5672,1.056,1.447
220481543,14.509,12.667,5116,0.79,0.751
220481601,15.27,13.212,4914,0.786,0.739
220481635,15.853,13.744,,,
220481636,12.542,10.414,4779,0.789,0.726
220481663,13.716,12.155,5773,0.954,1.007
220481664,18.644,,,,
220481726,15.352,12.987,4561,0.658,0.61
220481728,13.075,11.609,5939,0.962,1.123
220481744,12.187,,,,
220481745,13.377,11.841,5665,0.768,0.799
220481747,12.971,11.293,5499,0.881,0.855
220481751,11.519,10.107,5730,0.962,0.985
220481764,14.971,13.288,5353,0.75,0.719
220481767,12.022,10.905,6679,1.409,1.612
220481779,15.092,12.143,3676,0.372,0.336
220481785,11.772,9.527,4716,0.906,12.355
220481803,9.181,6.133,4305,0.911,33.562
220481828,14.141,12.667,5626,0.895,0.908
220481841,13.588,10.613,3718,0.325,0.305
220481880,15.264,13.697,5479,0.837,0.825
220481906,15.914,14.515,5651,0.759,0.771
220481963,15.208,13.048,,,
220481971,12.25,10.645,5660,1.005,1.158
220481987,17.181,14.669,4171,0.324,0.297
220481991,16.74,15.048,5546,0.723,0.705
220482027,13.549,11.375,4971,0.908,3.333
220482042,14.301,12.793,5685,0.874,0.906
220482052,17.932,15.041,,,
220482055,13.551,12.026,5677,0.751,0.766
220482065,11.603,10.485,6707,1.375,1.576
220482108,13.7,12.184,5761,0.957,0.976
220482141,13.442,12.018,5857,1.041,1.167
220482173,15.883,12.925,4201,0.581,0.528
220482221,15.301,13.854,6052,0.897,1.132
220482305,16.265,14.685,5665,0.826,0.88
220482314,17.017,,,,
220482322,12.583,11.175,5768,1.046,1.306
220482333,15.921,12.807,4082,0.528,0.472
220482336,13.27,11.906,5961,1.07,1.319
220482344,15.928,14.137,5361,0.774,0.758
220482347,11.451,9.951,5876,1.064,1.232
220482357,13.868,11.697,4899,0.8,0.739
220482363,9.211,6.158,4132,1.128,34.405
220482364,12.658,10.851,5112,0.914,3.444
220482382,13.781,12.348,5757,0.94,0.963
220482408,16.687,14.736,5245,0.676,0.651
220482411,17.259,15.081,5227,0.583,0.516
220482425,19.212,,,,
220482427,14.047,12.397,5508,0.848,0.817
220482456,16.149,13.584,3911,0.35,0.309
220482458,15.138,12.277,4065,0.409,0.363
220482475,16.625,14.607,,,
220482602,13.246,11.999,6050,0.996,1.199
220482629,12.364,9.587,3920,0.479,0.423
220482658,12.796,11.493,6089,1.109,1.309
220482660,14.207,11.852,4849,0.808,0.751
220482663,11.413,10.273,6590,1.36,1.563
220482664,16.382,12.995,3548,0.252,0.254
220482749,14.13,12.597,5796,0.897,0.95
220482771,10.826,9.579,6220,1.158,1.365
220482784,13.226,11.272,5027,0.785,0.729
220482786,15.026,11.876,3697,0.351,0.326
220482804,12.358,11.158,6138,1.095,1.319
220482805,15.852,12.73,3902,0.457,0.415
220482816,16.38,14.366,5111,0.648,0.616
220482827,14.13,11.679,4162,0.446,0.386
220482876,11.605,10.48,6532,1.324,1.512
220482894,11.19,9.899,6157,1.128,1.327
220482949,13.892,11.72,4833,0.829,0.75
220482955,13.798,10.262,3597,0.241,0.244
220483024,13.089,11.662,5724,0.973,1
220483040,14.841,12.29,4316,0.608,0.548
220483042,15.573,11.95,3726,0.353,0.323
220483050,18.484,15.062,3472,0.148,0.162
220483091,9.492,7.227,4862,1.03,4.582
220483096,15.686,12.267,4168,0.59,0.517
220483147,14.159,12.23,4958,0.828,0.777
220483155,13.444,12.075,5907,1,1.102
220483186,11.46,9.871,5574,0.963,0.921
220483240,13.515,12.093,5751,0.986,0.989
220483246,15.097,11.909,3919,0.475,0.419
220483302,17.736,,,,
220483340,15.747,14.12,5496,0.849,0.874
220483366,17.429,15.582,,,
220483406,13.004,11.765,6181,1.116,1.372
220483476,15.749,13.96,5293,0.827,0.79
220483481,12.461,10.957,5846,1.031,1.419
220483508,13.225,11.703,5671,0.917,0.929
220483510,16.598,14.793,5051,0.672,0.635
220483593,10.461,9.053,5889,1.002,1.355
220483597,12.389,11.048,5927,1.019,1.186
220483619,16.42,13.224,4125,0.554,0.491
220483641,13.213,,,,
220483667,16.371,12.943,3399,0.192,0.212
220483669,13.587,12.015,5643,0.973,0.954
220483699,13.659,12.177,5758,1.013,1.01
220483788,14.155,12.283,5112,0.836,0.784
220483796,14.161,12.048,4964,0.846,0.79
220483799,17.518,,,,
220483815,16.455,14.871,5387,0.797,0.834
220483822,14.28,11.265,3799,0.341,0.312
220483841,15.862,13.071,4235,0.586,0.527
220483847,14.547,12.501,5081,0.803,0.751
220483918,18.849,,,,
220483967,14.316,12.343,,,
220484031,8.11,,4675,1.849,13.128
220484052,13.79,11.777,5068,0.847,0.778
220484121,12.377,10.138,4765,0.937,9.379
220484146,12.918,11.59,5967,1.04,1.172
220484189,13.31,12.119,6101,1.038,1.279
220484200,13.743,12.296,5770,0.955,0.988
220484242,17.686,,,,
220484269,13.507,12.192,6184,1.012,1.211
220484270,11.934,10.626,5877,1.082,1.202
220484282,19.079,,,,
220484383,15.228,11.914,3513,0.231,0.235
220484407,8.733,7.827,7082,1.739,2.312
220484437,10.528,9.343,6303,1.305,1.725
220484440,13.48,11.224,4732,0.945,6.706
220484441,16.425,13.801,,,
220484448,17.922,,,,
220484450,15.748,13.563,4525,0.597,0.553
220484496,12.892,11.479,5953,1.049,1.229
220484535,13.815,12.407,5873,0.927,1.085
220484549,11.98,11.023,6348,0.809,1.127
220484574,12.798,11.463,5939,0.785,0.849
220484580,18.54,,,,
220484586,12.375,10.873,5835,0.937,0.989
220484615,13.231,11.693,5628,0.956,1.053
220484619,14.238,12.273,4975,0.816,0.747
220484645,13.456,12.026,5683,0.956,1.021
220484647,12.602,11.822,5828,1.015,1.101
220484659,13.95,11.975,5119,0.858,0.79
220484680,16.346,13.87,4410,0.634,0.572
220484681,11.449,10.035,5951,1.09,1.237
220484702,13.598,11.985,5712,0.954,1.007
220484741,15.838,12.915,,,
220484763,16.486,15.187,3896,0.297,0.289
220484778,13.02,11.716,5947,1.074,1.268
220484805,15.979,13.074,4053,0.518,0.467
220484810,16.459,13.002,3503,0.231,0.243
220484811,13.786,12.037,5496,0.817,0.816
220484881,13.033,11.844,6198,1.067,1.284
220484898,14.846,11.732,3677,0.321,0.298
220484902,14.415,11.54,3784,0.385,0.35
220484929,12.886,11.549,5975,1,1.134
220484951,12.275,10.812,5816,0.938,0.986
220484969,10.439,9.13,6081,1.207,1.627
220484973,14.207,12.561,5602,0.876,0.867
220484993,14.267,11.679,4162,0.595,0.525
220484996,12.875,11.586,6142,1.072,1.312
220485020,15.397,12.655,4167,0.579,0.514
220485042,16.365,13.776,,,
220485047,13.471,11.882,5642,0.948,0.994
220485050,11.001,9.655,6094,1.126,1.314
220485055,14.233,12.565,5355,0.878,0.816
220485062,15.944,14.171,5691,0.845,0.893
220485078,14.669,13.201,5797,0.891,0.941
220485099,13.533,12.385,6108,1.047,1.243
220485104,14.922,13.277,5501,0.782,0.775
220485137,12.36,10.71,5695,1.079,1.134
220485154,15.687,13.729,5768,0.838,0.896
220485169,13.071,10.883,4746,0.772,0.706
220485188,13.878,11.829,4935,0.877,1.881
220485211,15.73,13.817,4962,0.638,0.6
220485212,15.966,14.518,,,
220485220,17.681,,,,
220485263,9.318,6.927,4768,0.906,12.413
220485299,11.955,10.346,5595,1.005,1.677
220485301,13.921,11.972,5091,0.82,0.758
