,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,221312395,17 51 00.094,-29 20 11.97,1,13.728,,,,17510009-2920119,STAR,J,,,,,,,,,,,,,,,,,,12.338,0.06,11.262,0.084,10.865,0.057999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-112-00c-0-0,4.2,0606-0688748
1,221405871,17 50 58.771,-29 08 54.17,1,13.032,,,,17505877-2908541,STAR,J,,,,,,,,,,,,,,,,,,11.497,0.036000000000000004,9.925,0.036000000000000004,9.357999999999999,0.035,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.0,0608-0685827
2,221646527,17 51 03.660,-28 42 12.89,1,12.995,,,,17510366-2842128,STAR,J,,,,,,,,,,,,,,,,,,11.452,0.037000000000000005,9.976,0.04,9.376,0.027000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.6,0612-0671803
3,221718350,18 06 20.120,-28 34 55.48,1,14.04,,,308-175088,18062011-2834554,STAR,J,,11.6,13.7,-9.2,13.7,,,,,,,,,,,,,12.687000000000001,0.036000000000000004,11.788,0.033,11.481,0.031,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-00d-0-0,8.6,
4,221723022,18 06 28.799,-28 34 27.47,1,15.54,,,308-175425,18062880-2834274,STAR,JHK,,7.7,10.7,47.5,10.7,,,,,,,,,,,,,12.797,0.033,11.901,0.034,11.659,0.032,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.3,
5,221730899,18 06 02.964,-28 33 40.94,1,14.397,,,308-174427,,STAR,BV,,0.0,50.0,0.0,50.0,,,15.001,0.03,14.475999999999999,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,221731586,18 05 57.157,-28 33 36.68,1,15.873,,,308-174186,18055716-2833366,STAR,JHK,,23.3,13.8,-28.8,14.0,,,,,,,,,,,,,13.658,0.023,13.062999999999999,0.021,12.811,0.028999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-221-ccc-0-0,4.0,
7,221736118,18 06 51.374,-28 33 09.90,1,15.245999999999999,,,308-176568,18065145-2833094,STAR,J,,-1.2,24.7,-3.5,14.4,,,,,,,,,,,,,13.905,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUU-200-100-000-0-0,1.2,
8,221745727,18 06 37.882,-28 32 12.71,1,15.687999999999999,,,308-175805,18063786-2832125,STAR,JHK,,,,,,,,,,,,,,,,,,13.149000000000001,0.039,12.395999999999999,0.039,12.079,0.035,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,7.5,0614-0739311
9,221773945,18 07 07.166,-28 29 27.51,1,14.228,,,,18070716-2829275,STAR,J,,,,,,,,,,,,,,,,,,12.889000000000001,0.032,11.922,0.032,11.651,0.03,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.4,0615-0751436
10,221855684,18 06 09.096,-28 21 48.16,1,15.99,,,309-166072,18060909-2821479,STAR,JHK,,22.1,13.8,-20.8,13.5,,,,,,,,,,,,,13.808,0.040999999999999995,13.119000000000002,0.043,12.970999999999998,0.045,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.6,
11,221887964,18 07 34.332,-28 18 50.66,1,15.443,,,309-169995,18073434-2818505,STAR,JHK,,,,,,,,,,,,,,,,,,12.713,0.039,11.85,0.039,11.579,0.04,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.9,0616-0762968
12,221907528,18 06 01.144,-28 17 04.23,1,9.966000000000001,,,309-165730,18060115-2817042,STAR,J,,-21.6,6.7,-8.6,6.7,,,,,,,,,,,,,8.266,0.021,7.24,0.049,6.478,0.018000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,5.8,
13,221918659,18 06 56.476,-28 16 04.05,1,15.604000000000001,,,309-168298,18065647-2816039,STAR,JHK,,-63.4,19.3,75.4,19.5,,,,,,,,,,,,,13.481,0.053,12.725999999999999,0.047,12.579,0.05,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,3.5,
14,221937241,18 07 04.859,-28 14 22.24,1,14.718,,,,18070485-2814222,STAR,J,,31.5,9.0,-18.9,9.0,,,,,,,,,,,,,13.392000000000001,0.071,12.443,0.059000000000000004,12.182,0.055999999999999994,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,5.9,0617-0791226
15,221938867,18 10 04.349,-28 14 13.28,1,15.251,,,309-175395,18100434-2814133,STAR,JHK,,4.9,5.9,-42.2,5.9,,,,,,,,,,,,,13.904000000000002,0.045,13.495,0.043,13.384,0.054000000000000006,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.2,
16,221965093,18 07 26.565,-28 11 51.36,1,14.942,,,,18072656-2811513,STAR,J,,,,,,,,,,,,,,,,,,13.613,0.027999999999999997,12.693,0.024,12.311,0.035,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,5.5,0618-0834896
17,221968183,18 07 13.783,-28 11 34.24,1,13.579,,,310-165945,18071377-2811343,STAR,J,,-6.9,15.5,-23.0,15.7,,,,,,,,,,,,,12.164000000000001,0.036000000000000004,11.238,0.031,10.947000000000001,0.032,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.0,
18,221980326,18 06 20.070,-28 10 29.17,1,15.824000000000002,,,,18062007-2810291,STAR,JHK,,-45.1,9.0,5.7,9.0,,,,,,,,,,,,,13.524000000000001,0.057,12.728,0.044000000000000004,12.545,0.046,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-112-ccc-0-0,4.6,0618-0829354
19,221991290,18 06 49.140,-28 09 29.72,1,15.74,,,,18064913-2809297,STAR,JHK,,-12.0,19.0,12.0,3.0,,,,,,,,,,,,,13.35,0.031,12.58,0.031,12.335,0.032,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.4,0618-0831968
20,221995510,18 07 28.593,-28 09 06.95,1,14.432,,,,18072859-2809069,STAR,J,,,,,,,,,,,,,,,,,,13.103,0.028999999999999998,12.023,0.028999999999999998,11.629000000000001,0.026000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,8.5,0618-0835020
21,221997391,18 08 07.956,-28 08 56.42,1,15.325999999999999,,,310-167626,18080795-2808564,STAR,J,,,,,,,,,,,,,,,,,,13.981,0.052000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUU-266-200-c00-0-0,4.6,0618-0838207
22,222001111,18 12 03.692,-28 08 36.20,1,10.79,,,310-178934,18120369-2808361,STAR,J,,21.4,4.2,0.1,4.2,,,,,,,,,,,,,9.09,0.021,8.424,0.027000000000000003,7.766,0.026000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,8.0,
23,222001328,18 07 44.198,-28 08 35.12,1,15.809000000000001,,,310-166759,18074419-2808351,STAR,JHK,,-9.1,12.6,8.6,12.6,,,,,,,,,,,,,13.366,0.052000000000000005,12.561,0.047,12.331,0.048,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,5.8,
24,222001341,18 06 54.056,-28 08 35.08,1,15.449000000000002,,,310-165275,18065405-2808349,STAR,JHK,,38.7,11.0,-11.8,9.8,,,,,,,,,,,,,13.049000000000001,0.026000000000000002,12.199000000000002,0.031,12.03,0.028999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,5.7,
25,222002937,18 06 48.702,-28 08 26.77,1,15.81,,,310-165068,18064865-2808263,STAR,JHK,,5.2,9.0,-26.3,9.0,,,,,,,,,,,,,13.600999999999999,0.038,12.902000000000001,0.036000000000000004,12.755999999999998,0.038,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-ccc-0-0,5.0,0618-0831930
26,222020188,18 07 24.388,-28 06 53.82,1,15.075,,,,18072438-2806538,STAR,J,,4.0,2.0,-2.0,0.0,,,,,,,,,,,,,13.741,0.04,12.777999999999999,0.040999999999999995,12.414000000000001,0.038,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.0,0618-0834741
27,222037354,18 06 07.640,-28 05 20.20,1,15.658,,,310-162929,18060764-2805203,STAR,JHK,,-20.6,7.0,43.7,27.5,,,,,,,,,,,,,13.642000000000001,0.067,13.071,0.08800000000000001,12.854000000000001,0.057,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-211-ccc-0-0,4.2,
28,222038957,18 08 38.570,-28 05 11.80,1,15.764000000000001,,,310-168411,18083854-2805107,STAR,JHK,,,,,,,,,,,,,,,,,,13.44,0.066,12.807,0.07,12.559000000000001,0.068,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-444-ccc-0-0,4.5,0619-0864852
29,222063900,18 06 18.909,-28 02 55.79,1,13.099,,,310-163602,18061890-2802557,STAR,J,,13.9,5.0,-19.5,8.3,,,,,,,,,,,,,11.581,0.033,,,10.682,0.037000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,AEA-222-111-000-0-0,9.3,
30,222072613,18 06 35.271,-28 02 08.26,1,15.648,,,310-164456,18063526-2802081,STAR,JHK,,3.9,7.4,-36.6,7.3,,,,,,,,,,,,,13.216,0.063,12.378,0.06,12.185,0.069,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.9,
31,222076670,18 07 22.166,-28 01 45.92,1,15.84,,,310-166220,18072216-2801463,STAR,JHK,,-10.7,8.0,-4.7,8.2,,,,,,,,,,,,,13.481,0.032,12.815999999999999,0.035,12.588,0.035,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.8,
32,222082127,18 07 28.022,-28 01 15.74,1,15.722999999999999,,,310-166339,18072801-2801167,STAR,JHK,,-3.0,5.7,22.5,7.6,,,,,,,,,,,,,13.257,0.044000000000000004,12.57,0.051,12.322000000000001,0.05,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,9.8,
33,222083205,18 07 30.004,-28 01 10.04,1,15.834000000000001,,,310-166383,18073000-2801101,STAR,JHK,,-5.8,5.1,1.7,5.1,,,,,,,,,,,,,13.595999999999998,0.04,13.019,0.04,12.742,0.045,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.0,
